NAME YEAR DOY YYYY-MM-DD TYPE
ABMF 2009 288 2009-10-15 RSFYAsDau
ABMF 2011 319 2011-11-15 RS
ABMF 2012 024 2012-01-24 As
ABMF 2015 118 2015-04-28 RSF
ABMF 2019 105 2019-04-15 RSFC
ABPO 2017 101 2017-04-11 RSFCY
ADIS 2008 071 2008-03-11 RSFYIi
ADIS 2022 103 2022-04-13 RSFYIAsDau
AIRA 2003 049 2003-02-18 RSFCAs
AIRA 2012 207 2012-07-25 RSF
AIRA 2012 214 2012-08-01 AsDi
AIRA 2021 025 2021-01-25 RSF
ALBH 1993 298 1993-10-25 RSF
ALBH 1993 327 1993-11-23 RSF
ALBH 1994 016 1994-01-16 RSFI
ALBH 1994 104 1994-04-14 Asau
ALBH 1999 089 1999-03-30 RS
ALBH 1999 177 1999-06-26 RS
ALBH 2000 075 2000-03-15 RSF
ALBH 2003 248 2003-09-05 AsD
ALBH 2015 258 2015-09-15 RSFYAs
ALBH 2016 160 2016-06-08 RSFC
ALBH 2019 016 2019-01-16 RSFY
ALGO 1994 047 1994-02-16 RSFAsau
ALGO 1999 230 1999-08-18 RSF
ALGO 2012 355 2012-12-20 RSFCYIsi
ALGO 2016 181 2016-06-29 RSFYI
ALGO 2020 231 2020-08-18 RSF
ALIC 2000 014 2000-01-14 RSF
ALIC 2000 024 2000-01-24 RS
ALIC 2003 166 2003-06-15 AD
ALIC 2003 295 2003-10-22 RSF
ALIC 2008 106 2008-04-15 RSFYI
ALIC 2011 201 2011-07-20 Asui
ALIC 2016 035 2016-02-04 RSFY
ALIC 2020 345 2020-12-10 RSFI
ALIC 2024 113 2024-04-22 Asu
ALRT 2019 221 2019-08-09 RSFYI
AMC2 1999 067 1999-03-08 RSF
AMC2 2002 172 2002-06-21 RSF
ANKR 2000 186 2000-07-04 RSF
ANKR 2008 127 2008-05-06 RSFYAsDui
ANKR 2017 161 2017-06-10 RSFYAsDai
ANTC 2008 037 2008-02-06 RSFI
ANTC 2014 235 2014-08-23 RSFCYI
ANTC 2023 088 2023-03-29 RSFCY
AREG 2018 243 2018-08-31 RSF
AREQ 2000 028 2000-01-28 RSF
AREQ 2002 225 2002-08-13 RSF
AREQ 2011 231 2011-08-19 AD
AREQ 2012 033 2012-02-02 AD
AREQ 2017 255 2017-09-12 RSFCY
AREQ 2018 096 2018-04-06 AD
AREQ 2018 121 2018-05-01 Asl
AREQ 2021 337 2021-12-03 RSFYI
AREV 2010 323 2010-11-19 RSFI
AREV 2011 231 2011-08-19 AD
AREV 2012 033 2012-02-02 AD
ARTU 2018 249 2018-09-06 RSFYI
ASC1 2999 001 2999-01-01 FRSFRSF
ASCG 2021 082 2021-03-23 RS
ASPA 2008 275 2008-10-01 RSFAsDail
ASPA 2022 221 2022-08-09 RSFY
AUCK 2001 300 2001-10-27 RSFIAs
AUCK 2002 335 2002-12-01 RSFC
AUCK 2003 009 2003-01-09 RSF
AUCK 2005 307 2005-11-03 RSFCAsaui
AUCK 2011 059 2011-02-28 RSFCYIAs
AUCK 2019 296 2019-10-23 RSFAs
AZGB 2004 203 2004-07-21 RSFAs
AZGB 2004 240 2004-08-27 RSFIs
AZGB 2007 113 2007-04-23 RSF
AZGB 2008 169 2008-06-17 RSFCYIAsal
AZGB 2024 200 2024-07-18 RSFIAs
BADG 2005 318 2005-11-14 AD
BADG 2006 237 2006-08-25 AD
BADG 2010 068 2010-03-09 RSFCYAsD
