NAME YEAR DOY YYYY-MM-DD TYPE
ABMF 2008 364 2008-12-29 S
ABMF 2009 288 2009-10-15 RSFYAsDau
ABMF 2011 319 2011-11-15 RS
ABMF 2012 024 2012-01-24 As
ABMF 2015 118 2015-04-28 RSF
ABMF 2019 105 2019-04-15 RSFC
ABPO 2011 099 2011-04-09 S
ABPO 2012 332 2012-11-27 S
ABPO 2017 101 2017-04-11 RSFCY
ADIS 2008 071 2008-03-11 RSFYIi
ADIS 2022 103 2022-04-13 RSFYIAsDau
AIRA 2001 228 2001-08-16 SF
AIRA 2002 227 2002-08-15 S
AIRA 2003 049 2003-02-18 RSFCAs
AIRA 2004 321 2004-11-16 S
AIRA 2012 207 2012-07-25 RSF
AIRA 2012 214 2012-08-01 AsDi
AIRA 2021 025 2021-01-25 RSF
ALBH 1993 298 1993-10-25 RSF
ALBH 1993 327 1993-11-23 RSF
ALBH 1994 016 1994-01-16 RSFI
ALBH 1994 104 1994-04-14 Asau
ALBH 1995 011 1995-01-11 SFIsu
ALBH 1995 158 1995-06-07 Fs
ALBH 1997 219 1997-08-07 S
ALBH 1999 089 1999-03-30 RS
ALBH 1999 177 1999-06-26 RS
ALBH 2000 075 2000-03-15 RSF
ALBH 2003 238 2003-08-26 S
ALBH 2003 248 2003-09-05 AsD
ALBH 2004 027 2004-01-27 S
ALBH 2005 285 2005-10-12 S
ALBH 2015 258 2015-09-15 RSFYAs
ALBH 2016 160 2016-06-08 RSFC
ALBH 2019 016 2019-01-16 RSFY
ALGO 1994 047 1994-02-16 RSFAsau
ALGO 1994 207 1994-07-26 S
ALGO 1994 354 1994-12-20 SF
ALGO 1996 354 1996-12-19 SF
ALGO 1997 016 1997-01-16 s
ALGO 1997 162 1997-06-11 S
ALGO 1997 238 1997-08-26 S
ALGO 1997 306 1997-11-02 S
ALGO 1999 230 1999-08-18 RSF
ALGO 2007 285 2007-10-12 S
ALGO 2008 347 2008-12-12 S
ALGO 2012 355 2012-12-20 RSFCYIsi
ALGO 2016 181 2016-06-29 RSFYI
ALGO 2020 231 2020-08-18 RSF
ALIC 2000 014 2000-01-14 RSF
ALIC 2000 024 2000-01-24 RS
ALIC 2003 166 2003-06-15 D
ALIC 2003 295 2003-10-22 RSF
ALIC 2008 106 2008-04-15 RSFYI
ALIC 2011 201 2011-07-20 Asui
ALIC 2016 035 2016-02-04 RSFY
ALIC 2020 345 2020-12-10 RSFI
ALIC 2024 113 2024-04-22 Asu
ALRT 2009 209 2009-07-28 S
ALRT 2009 252 2009-09-09 S
ALRT 2011 140 2011-05-20 SFI
ALRT 2019 221 2019-08-09 RSFYI
AMC2 1998 288 1998-10-15 S
AMC2 1999 067 1999-03-08 RSF
AMC2 1999 130 1999-05-10 S
AMC2 1999 244 1999-09-01 SF
AMC2 2002 165 2002-06-14 s
AMC2 2002 172 2002-06-21 RSF
AMC2 2007 274 2007-10-01 s
ANKR 1996 205 1996-07-23 Ss
ANKR 1997 205 1997-07-24 SFs
ANKR 1998 259 1998-09-16 s
ANKR 1999 190 1999-07-09 SF
ANKR 2000 186 2000-07-04 RSF
ANKR 2000 329 2000-11-24 SFs
ANKR 2008 127 2008-05-06 RSFYAsDui
ANKR 2017 161 2017-06-10 RSFYAsDai
ANTC 2004 119 2004-04-28 SF
ANTC 2008 037 2008-02-06 RSFI
ANTC 2014 235 2014-08-23 RSFCYI
ANTC 2023 088 2023-03-29 RSFCY
AOML 1998 105 1998-04-15 S
AOML 1998 124 1998-05-04 Ssi
AOML 2000 013 2000-01-13 S
AREG 2014 154 2014-06-03 SF
AREG 2018 243 2018-08-31 RSF
AREG 2021 026 2021-01-26 SF
AREQ 1995 132 1995-05-12 SF
AREQ 2000 028 2000-01-28 RSF
AREQ 2002 225 2002-08-13 RSF
AREQ 2006 047 2006-02-16 SF
AREQ 2011 231 2011-08-19 D
AREQ 2012 033 2012-02-02 D
AREQ 2017 255 2017-09-12 RSFCY
AREQ 2018 096 2018-04-06 D
AREQ 2018 121 2018-05-01 Asl
AREQ 2021 337 2021-12-03 RSFYI
AREV 2009 231 2009-08-19 SI
AREV 2010 323 2010-11-19 RSFI
AREV 2011 231 2011-08-19 D
AREV 2012 033 2012-02-02 D
AREV 2014 182 2014-07-01 S
ARTU 2018 249 2018-09-06 RSFYI
ASC1 2999 001 2999-01-01 FRSFRSF
ASCG 2021 082 2021-03-23 RS
ASCG 2021 231 2021-08-19 si
ASPA 2008 275 2008-10-01 RSFAsDail
ASPA 2022 221 2022-08-09 RSFY
AUCK 2001 300 2001-10-27 RSFIAs
AUCK 2002 335 2002-12-01 RSFC
AUCK 2003 009 2003-01-09 RSF
