NAME YEAR DOY YYYY-MM-DD TYPE
ABMF 2008 364 2008-12-29 S
ABMF 2009 288 2009-10-15 RSFYAsDau
ABMF 2010 239 2010-08-27 F
ABMF 2011 083 2011-03-24 F
ABMF 2011 241 2011-08-29 F
ABMF 2011 319 2011-11-15 RS
ABMF 2012 024 2012-01-24 As
ABMF 2012 062 2012-03-02 Y
ABMF 2012 152 2012-05-31 F
ABMF 2013 042 2013-02-11 FY
ABMF 2013 136 2013-05-16 F
ABMF 2013 290 2013-10-17 F
ABMF 2014 085 2014-03-26 F
ABMF 2014 317 2014-11-13 I
ABMF 2015 118 2015-04-28 RSF
ABMF 2016 180 2016-06-28 X
ABMF 2016 314 2016-11-09 F
ABMF 2017 214 2017-08-02 F
ABMF 2018 239 2018-08-27 F
ABMF 2019 072 2019-03-13 F
ABMF 2019 105 2019-04-15 RSFC
ABMF 2019 274 2019-10-01 F
ABMF 2020 038 2020-02-07 F
ABMF 2024 192 2024-07-10 F
ABMF 2025 339 2025-12-05 F
ABPO 2011 099 2011-04-09 S
ABPO 2012 332 2012-11-27 S
ABPO 2017 101 2017-04-11 RSFCY
ABPO 2018 061 2018-03-02 FY
ABPO 2018 135 2018-05-15 l
ABPO 2019 260 2019-09-17 F
ABPO 2019 318 2019-11-14 F
ABPO 2020 034 2020-02-03 F
ABPO 2021 029 2021-01-29 F
ABPO 2023 145 2023-05-25 F
ABPO 2025 240 2025-08-28 FI
ADE1 1996 001 1996-01-01 F
ADE1 1998 260 1998-09-17 F
ADE1 2000 214 2000-08-01 F
ADIS 2008 071 2008-03-11 RSFYIi
ADIS 2022 103 2022-04-13 RSFYIAsDau
AIRA 2001 228 2001-08-16 SF
AIRA 2002 227 2002-08-15 S
AIRA 2003 049 2003-02-18 RSFCAs
AIRA 2004 321 2004-11-16 S
AIRA 2012 207 2012-07-25 RSF
AIRA 2012 214 2012-08-01 AsDi
AIRA 2012 215 2012-08-02 Y
AIRA 2018 352 2018-12-18 FY
AIRA 2020 160 2020-06-08 F
AIRA 2021 025 2021-01-25 RSF
AIRA 2021 228 2021-08-16 F
AIRA 2022 257 2022-09-14 F
ALBH 1992 128 1992-05-07 FI
ALBH 1992 146 1992-05-25 u
ALBH 1992 351 1992-12-16 FI
ALBH 1993 113 1993-04-23 F
ALBH 1993 131 1993-05-11 FI
ALBH 1993 298 1993-10-25 RSF
ALBH 1993 327 1993-11-23 RSF
ALBH 1994 016 1994-01-16 RSFI
ALBH 1994 104 1994-04-14 Asau
ALBH 1995 011 1995-01-11 SFIsu
ALBH 1995 012 1995-01-12 F
ALBH 1995 158 1995-06-07 Fs
ALBH 1995 202 1995-07-21 FC
ALBH 1997 219 1997-08-07 S
ALBH 1999 043 1999-02-12 F
ALBH 1999 089 1999-03-30 RS
ALBH 1999 177 1999-06-26 RS
ALBH 1999 229 1999-08-17 F
ALBH 2000 075 2000-03-15 RSF
ALBH 2003 238 2003-08-26 S
ALBH 2003 246 2003-09-03 x
ALBH 2003 248 2003-09-05 AsD
ALBH 2003 251 2003-09-08 x
ALBH 2004 027 2004-01-27 S
ALBH 2005 285 2005-10-12 S
ALBH 2015 258 2015-09-15 RSFYAs
ALBH 2016 160 2016-06-08 RSFC
ALBH 2019 016 2019-01-16 RSFY
ALGO 1993 039 1993-02-08 F
ALGO 1994 012 1994-01-12 F
ALGO 1994 047 1994-02-16 RSFAsau
ALGO 1994 138 1994-05-18 u
ALGO 1994 207 1994-07-26 S
ALGO 1994 354 1994-12-20 SF
ALGO 1995 279 1995-10-06 F
ALGO 1996 354 1996-12-19 SF
ALGO 1997 016 1997-01-16 s
ALGO 1997 136 1997-05-16 F
ALGO 1997 162 1997-06-11 S
ALGO 1997 238 1997-08-26 S
ALGO 1997 306 1997-11-02 S
ALGO 1999 230 1999-08-18 RSF
ALGO 2007 285 2007-10-12 S
ALGO 2008 347 2008-12-12 S
ALGO 2012 355 2012-12-20 RSFCYIsi
ALGO 2016 181 2016-06-29 RSFYI
ALGO 2019 098 2019-04-08 F
ALGO 2020 231 2020-08-18 RSF
ALIC 1999 212 1999-07-31 FI
ALIC 2000 014 2000-01-14 RSF
ALIC 2000 024 2000-01-24 RS
ALIC 2003 166 2003-06-15 D
ALIC 2003 295 2003-10-22 RSF
ALIC 2008 106 2008-04-15 RSFYI
ALIC 2008 260 2008-09-16 F
ALIC 2009 205 2009-07-24 FI
ALIC 2010 126 2010-05-06 F
ALIC 2011 177 2011-06-26 FI
ALIC 2011 201 2011-07-20 Asui
ALIC 2013 067 2013-03-08 F
ALIC 2013 189 2013-07-08 F
ALIC 2016 035 2016-02-04 RSFY
ALIC 2016 105 2016-04-14 F
