name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
ABMF 2014-01-02 2017-12-05   -0.46490046    0.03228966  988
ABMF 2017-12-06 2025-12-30    0.14794724    0.01914172 2821
ABPO 2014-01-02 2023-12-27   -0.26672288    0.01776468 2715
ABPO 2023-12-28 2025-05-04    0.22223229    0.04651149  426
ADE1 1999-03-18 2000-05-12    0.24392916    0.03393954  355
ADE1 2000-05-13 2004-12-03    0.67779825    0.01593403 1554
ADE1 2004-12-04 2010-09-14    0.47273039    0.01438854 1961
ADIS 2008-03-14 2025-12-30    0.27806302    0.01172239 4723
AIRA 2003-02-20 2008-08-13   -0.23277469    0.01694882 1939
AIRA 2008-08-14 2011-04-26   -0.74920485    0.02337538  950
AIRA 2011-04-27 2011-11-11   -1.65050505    0.07373407  183
AIRA 2011-11-12 2012-07-05   -0.83426971    0.04335049  232
AIRA 2012-07-06 2013-12-30   -1.42588068    0.03415179  493
AIRA 2023-01-08 2025-09-27   -0.42481185    0.02439060  950
AIRA 2025-09-28 2025-12-30    0.40656925    0.07926465   84
ALBH 1994-01-06 2016-04-05    0.19689361    0.00668668 7800
ALBH 2016-04-06 2025-12-30    0.71402646    0.01009309 3482
ALGO 1994-01-06 1996-01-22    0.22197635    0.01883459  566
ALGO 1996-01-24 2003-04-24   -0.04512524    0.00881861 2442
ALGO 2003-04-25 2025-12-30    0.07233565    0.00512454 7301
ALIC 1995-02-21 1998-02-19   -0.04093158    0.02545464  543
ALIC 1998-02-20 2000-01-12   -1.41261421    0.02486345  583
ALIC 2000-01-13 2002-09-25   -0.71544881    0.01939776  943
ALIC 2002-09-26 2010-10-22   -0.33979338    0.01166994 2723
ALIC 2010-10-23 2011-06-07   -1.42958282    0.05177933  204
ALIC 2011-06-08 2018-06-26   -0.37679848    0.01229278 2442
ALIC 2018-06-27 2021-10-02   -0.08474424    0.01805263 1063
ALIC 2021-10-03 2025-12-30   -0.69554814    0.01616728 1458
ALRT 2002-11-20 2005-07-02    0.48781282    0.00559716  892
ALRT 2005-07-03 2006-03-23    0.60012780    0.01038091  251
ALRT 2006-03-24 2008-05-07    0.42003629    0.00619319  763
ALRT 2008-05-08 2009-03-30    0.69501836    0.00974257  307
ALRT 2009-03-31 2010-11-18    0.51803394    0.00772192  547
ALRT 2010-11-19 2011-04-05    0.33599614    0.01309578  111
ALRT 2011-04-06 2014-01-23    0.43332979    0.00579034  909
ALRT 2014-01-24 2017-01-19    0.35359742    0.00537394 1024
ALRT 2017-01-20 2025-12-14    0.50967603    0.00594546  797
AMC2 1998-10-22 2000-11-18   -0.69682566    0.01735827  524
AMC2 2000-11-19 2002-06-19   -1.03464174    0.01562034  543
AMC2 2002-06-20 2007-11-08   -0.64934768    0.00924125 1832
AMC2 2007-11-09 2016-12-25   -0.92481348    0.00694621 3110
AMC2 2016-12-26 2018-04-03   -0.70064148    0.01722199  437
ANKR 1995-06-26 1998-01-07    0.37432475    0.01842508  710
ANKR 1998-01-08 1998-08-16    0.81513859    0.03410577  204
ANKR 1998-08-17 1999-07-12    0.23431490    0.03053524  201
ANKR 1999-07-13 1999-10-09    1.26438635    0.08011816   80
ANKR 1999-10-11 2001-09-07    0.06381465    0.02286466  439
ANKR 2001-09-09 2006-10-07   -0.27270735    0.01336540 1350
ANKR 2006-10-08 2007-11-25    0.05558672    0.03286558  215
ANKR 2007-11-26 2017-09-17   -0.37754756    0.00877379 3162
ANKR 2017-09-18 2019-05-18   -0.84528248    0.01978248  543
ANKR 2019-05-19 2021-12-23   -1.17355535    0.01856958  727
ANTC 2002-07-02 2009-05-08    0.37762018    0.01715106 2181
ANTC 2009-05-09 2017-06-10    0.01415903    0.01895837 1717
ANTC 2017-06-11 2025-12-30    0.30217742    0.01952467 1611
AOML 1997-11-21 1998-06-04   -0.25251678    0.07948363  178
AOML 1998-06-05 2000-06-27   -0.89745301    0.04990929  527
AOML 2000-06-28 2004-04-03   -0.47806194    0.03308270 1288
AREG 2017-01-30 2019-05-19    1.78400872    0.02805105  804
AREG 2019-05-20 2025-12-30    1.29281733    0.01587256 2381
AREQ 1994-04-18 2001-05-16    1.12146927    0.02439046 1480
AREQ 2001-05-17 2004-08-08    1.62270386    0.03119073  902
AREQ 2004-08-09 2022-04-20    1.33555244    0.01213821 6011
AREQ 2022-04-21 2025-12-30    0.93612769    0.02626926 1255
AREV 2011-11-08 2017-09-11    1.64032878    0.02184440 1927
ARTU 1999-08-09 2000-01-30   -0.09400336    0.02613953  165
ARTU 2000-01-31 2009-10-17    0.34369563    0.00632857 3229
ARTU 2009-10-18 2019-01-11    0.04149929    0.00630895 3080
ARTU 2019-01-12 2022-04-27    0.13267932    0.01203088  940
ASC1 1996-05-02 2007-09-03   -0.54296200    0.02117188 1814
ASCG 2017-01-30 2020-03-05   -1.00969835    0.02200434 1122
ASCG 2020-03-06 2025-12-30   -1.26415216    0.01643033 2014
ASPA 2001-08-13 2019-08-23   -0.44940002    0.01618087 5822
ASPA 2019-08-24 2022-10-22   -1.18806548    0.04388892  793
ASPA 2022-10-23 2024-04-21    0.16585231    0.05271338  543
ASPA 2024-04-22 2025-09-04   -0.48454882    0.05584903  496
ASPA 2025-09-05 2025-12-30    0.72202001    0.11412304  117
AUCK 1995-09-21 1999-05-20   -0.08057380    0.01907117 1112
AUCK 1999-05-21 2001-11-04   -0.35565307    0.02126655  828
AUCK 2001-11-05 2005-11-08    0.10879376    0.01678204 1407
AUCK 2005-11-09 2016-07-22   -0.08584563    0.01030872 3767
AUCK 2016-07-24 2025-12-30    0.28432841    0.01090292 3305
AZGB 2014-01-02 2015-03-03    0.12533750    0.02837560  251
AZGB 2015-03-04 2015-09-24   -0.39036236    0.04101459  187
AZGB 2015-09-25 2016-10-21    0.08114243    0.02600928  367
AZGB 2016-10-22 2024-08-09    0.49373722    0.01011084 2285
AZGB 2024-08-10 2025-12-30    0.00481520    0.02430589  427
BADG 2005-04-01 2010-03-16   -0.19964323    0.00820567 1516
BADG 2010-03-17 2012-09-22   -0.02383999    0.01198357  804
BADG 2012-09-23 2013-01-24   -0.65687251    0.02350465  124
BADG 2013-01-25 2017-01-23   -0.06427729    0.00866914 1362
BADG 2017-01-24 2019-03-18    0.10977703    0.01122900  755
BADG 2019-03-19 2022-02-22   -0.16011418    0.01008466 1022
BADG 2022-02-23 2025-12-30    0.02011017    0.00900532 1348
BAKE 2003-03-05 2004-01-10    0.16487998    0.01532124  241
BAKE 2004-01-11 2005-04-07   -0.06834938    0.00925913  427
BAKE 2005-04-08 2005-12-13    0.29477081    0.01822835  211
BAKE 2005-12-14 2006-03-22   -0.14480500    0.01601535   89
BAKE 2006-03-23 2010-03-05    0.33456879    0.00933455  486
BAKE 2010-03-06 2013-03-21    0.53931968    0.00673684  933
BAKE 2013-03-22 2020-01-09    0.38787767    0.00451956 2156
BAKE 2020-01-10 2025-12-30    0.29809958    0.00462718 2029
BAKO 1994-08-06 1999-07-27    0.05928733    0.06791508  407
BAKO 1999-08-02 2000-08-10   -1.19599112    0.08650049  239
BAKO 2000-08-11 2001-08-15   -2.07056521    0.08878424  233
BAKO 2001-08-16 2006-05-14   -0.44298966    0.03438194 1526
BAKO 2006-05-15 2009-02-09    0.17820266    0.04582906  873
BAKO 2009-02-10 2020-06-25    0.76195229    0.02251657 3551
BAKO 2020-06-26 2025-12-28   -0.23918214    0.03710613 1304
BAN2 2002-12-09 2004-05-02    1.27439818    0.04978164  476
BAN2 2004-05-03 2006-07-28    0.30623215    0.04813215  533
BAN2 2006-07-30 2008-02-27    2.00385714    0.06485027  297
BAN2 2008-02-28 2013-01-14    0.99245534    0.02858164 1513
BARH 1998-10-03 2007-05-08    0.47918334    0.00972894 2560
BARH 2007-05-19 2025-12-30    0.22593991    0.00638833 6025
BDOS 2004-06-12 2009-03-25   -0.43068688    0.03515237 1039
BDOS 2009-03-26 2013-12-09   -0.16502411    0.03249997 1234
BHR1 1996-06-24 1996-11-18    1.82010314    0.11558648   98
BHR1 1996-11-19 2002-08-18    2.58462535    0.02622669 1316
BHR1 2002-08-20 2003-05-06    4.07850819    0.08387849  130
BHR1 2003-05-07 2004-02-24    3.75245721    0.07934072  155
BHR1 2004-02-25 2006-04-29    2.63823833    0.04420704  479
BHR1 2006-04-30 2008-07-26    3.95248980    0.05769298  292
BILI 1999-09-05 2002-07-18    0.02643890    0.00854884  838
BILI 2002-07-21 2004-11-17    0.15538648    0.00894199  711
BILI 2004-11-18 2005-03-24   -0.04454485    0.01637704  126
BILI 2005-03-25 2006-01-24    0.26673183    0.01528617  285
BILI 2006-01-25 2008-11-17    0.16597131    0.00884511  802
BISK 2014-01-02 2015-02-08    0.24906701    0.02316887  356
BISK 2015-02-11 2018-10-29    0.40419823    0.01500720  878
BISK 2019-01-09 2020-12-26    0.64993564    0.01703445  686
BJCO 2009-04-03 2022-06-25    0.95528430    0.02349080 2904
BJFS 1999-10-22 2000-07-19    0.71058555    0.02563060  255
BJFS 2000-07-20 2004-02-15    1.08687064    0.01375879 1017
BJFS 2004-02-16 2008-01-19    0.77583597    0.01278510 1305
BJFS 2008-01-20 2025-12-30    0.26888939    0.00604584 5686
BJNM 2014-01-02 2014-12-30    0.63561630    0.02600899  299
BJNM 2015-01-02 2015-12-02    0.40284986    0.03490493  217
BJNM 2015-12-03 2018-03-11    0.62184012    0.01578886  549
BJNM 2018-03-12 2020-07-04    0.70873120    0.02045347  400
BNDY 2008-01-05 2025-12-30   -0.07401083    0.01342379 5266
BOAV 2014-01-02 2015-06-02    0.29877418    0.04541278  487
BOAV 2015-06-03 2020-04-04    0.69128076    0.03943870  647
BOAV 2020-04-05 2022-12-01    0.08536398    0.03706117  775
BOAV 2022-12-02 2024-02-05   -0.82775532    0.05128875  353
BOAV 2024-02-06 2025-12-30   -0.24283852    0.04278409  532
BOGO 2014-01-02 2016-12-11    0.11357051    0.01241495 1061
BOGO 2016-12-12 2025-12-30    0.43608351    0.00736001 2999
BOGT 1994-11-05 1998-05-23    0.41373074    0.04337628  298
BOGT 1998-05-24 2019-04-12   -0.63158064    0.01015382 5544
BOGT 2019-04-13 2019-09-27    0.07650620    0.05404133  166
