name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
ALRT 2011-04-06 2011-04-25  +0.3277  +0.4363  +0.0131  +0.0058   111   909  -7.5838  3.356e-14     1
AOML 1998-06-05 1998-06-09  -0.6636  +0.4052  +0.0795  +0.1654   178    67  -5.8253  5.702e-09     1
ASPA 2019-08-24 2019-09-08  -0.4511  -1.1781  +0.0162  +0.0439  5822   793 +15.5413  1.821e-54     1
ASPA 2024-04-22 2024-04-23  +0.1213  -0.4562  +0.0527  +0.0558   543   496  +7.5200  5.477e-14     1
BAKO 2000-08-11 2000-08-22  -1.1407  -2.0259  +0.0866  +0.0891   239   233  +7.1240  1.049e-12     1
BDOS 2009-03-26 2009-03-27  -0.4009  -1.6916  +0.0353  +0.1973  1039    30  +6.4380  1.210e-10     1
BHR1 2003-05-07 2003-05-23  +4.4532  +3.9278  +0.0833  +0.0792   130   155  +4.5728  4.812e-06     1
BISK 2015-02-11 2015-02-13  +0.2998  +0.4389  +0.0232  +0.0150   356   878  -5.0319  4.857e-07     1
BISK 2019-01-09 2019-01-13  +0.4389  +0.6954  +0.0150  +0.0171   878   686 -11.2749  1.745e-29     1
BJCO 2014-12-25 2015-01-03  +0.9683  +1.0127  +0.0305  +0.0432  1727   844  -0.8397  4.011e-01     0
BJCO 2017-12-22 2017-12-27  +1.0127  +1.0632  +0.0432  +0.0753   844   333  -0.5813  5.610e-01     0
BJNM 2018-03-12 2018-03-14  +0.5727  +0.6515  +0.0158  +0.0205   549   400  -3.0450  2.327e-03     0
BOAV 2023-09-28 2023-10-16  -0.7773  -1.1718  +0.0599  +0.0992   264    89  +3.4025  6.678e-04     1
BRMU 1998-03-21 1998-03-25  -0.3287  -0.6388  +0.0235  +0.0293  1350   933  +8.2619  1.433e-16     1
BUE2 2007-09-04 2007-09-14  +0.2007  +0.2029  +0.0335  +0.0266   623  1002  -0.0528  9.579e-01     0
CAGS 2014-01-02 2014-01-06       NA  -0.1633       NA  +0.0232    NA   328       NA         NA    NA
CGGN 2013-11-27 2013-12-04  +1.0668  +0.7701  +0.0380  +0.0466   463   324  +4.9333  8.084e-07     1
CHUM 1997-10-14 1997-10-30       NA  -0.2012       NA  +0.0809    NA    54       NA         NA    NA
DAV1 1999-07-24 1999-08-13  -0.8802  -0.1298  +0.0097  +0.0134   385   211 -45.3083  0.000e+00     1
DAVR 2005-04-10 2005-04-25  -0.0419  -0.3023  +0.0085  +0.0179   508   109 +13.1271  2.302e-39     1
EISL 1994-05-04 1994-09-28       NA  -1.0142       NA  +0.0238    NA  1907       NA         NA    NA
EPRT 1999-01-23 1999-01-24  +0.8290  +0.5035  +0.0421  +0.0225   107   476  +6.8147  9.448e-12     1
ETAD 2010-01-20 2010-01-24  +0.0441  +0.2109  +0.0379  +0.0350   438   506  -3.2358  1.213e-03     0
FRDN 2023-01-17 2023-01-18  +0.3420  +0.2365  +0.0091  +0.0141  2378   985  +6.2639  3.754e-10     1
GALA 2002-10-26 2002-11-08  +0.7749       NA  +0.0355       NA  1074    NA       NA         NA    NA
GMAS 2003-04-13 2008-02-19       NA  -0.7214       NA  +0.0294    NA   866       NA         NA    NA
GOUG 2003-08-12 2003-08-29  +0.0140  -0.4363  +0.0217  +0.0461  1335   294  +8.8403  9.542e-19     1
HOB2 1998-08-14 1998-08-15  -0.1408  -0.4449  +0.0227  +0.0343   585   271  +7.3971  1.392e-13     1
HYDE 2015-09-18 2015-09-26  +0.4333  +1.1296  +0.0275  +0.0303  1682  1397 -17.0337  4.617e-65     1
JAB1 2000-09-01 2000-09-10  -0.9401  -0.5700  +0.0548  +0.0305   498  1776  -5.9022  3.587e-09     1
JOZE 1994-12-26 1995-01-27  +0.7277  -0.1695  +0.0258  +0.0180   321   662 +28.4981 1.235e-178     1
JPLV 2009-03-22 2009-04-05  +0.0438  +0.3123  +0.0320  +0.0231   400   864  -6.7990  1.053e-11     1
KARR 2006-10-20 2006-10-31  -1.0476  -0.8514  +0.0212  +0.0163  1921  3258  -7.3238  2.410e-13     1
KOSG 2014-11-14 2014-11-25  +0.2740       NA  +0.0291       NA   225    NA       NA         NA    NA
KOU1 2005-01-14 2005-01-27  +0.4602  -0.0653  +0.0541  +0.0824   564   215  +5.3298  9.834e-08     1
KOU1 2005-09-28 2005-09-30  -0.0653  +0.2729  +0.0824  +0.0709   215   321  -3.1100  1.871e-03     0
MAC1 2009-03-26 2009-04-19  +0.7960  +0.7841  +0.0127  +0.0146  1209   900  +0.6172  5.371e-01     0
MADR 2004-10-25 2004-11-07  -0.0108  +0.1660  +0.0457  +0.0259   211   436  -3.3683  7.562e-04     1
MADR 2024-02-07 2024-02-29  +0.1660  +0.0714  +0.0259  +0.0223   436   666  +2.7685  5.631e-03     0
MALD 2000-07-16 2000-07-22  -0.6174  +0.0829  +0.0667  +0.1039   311   118  -5.6733  1.401e-08     1
MALI 2006-02-05 2006-02-24  -0.2097  -0.5472  +0.0292  +0.0465  2210   886  +6.1524  7.633e-10     1
MAUI 2000-10-25 2000-11-16  +0.2873  +0.3933  +0.0158  +0.0060   556  3676  -6.2721  3.562e-10     1
MAW1 1999-07-24 1999-08-05  +0.4134  +0.7835  +0.0169  +0.0045   123  1898 -21.1832  1.365e-99     1
MDO1 1994-03-15 1994-03-15  +0.3473  +0.6243  +0.0492  +0.0105    60  2542  -5.5083  3.623e-08     1
MOBJ 2018-03-11 2018-03-19  +0.6313  +0.4201  +0.0102  +0.0133  1843  1179 +12.6194  1.651e-36     1
MOBK 2018-03-09 2018-03-19  -0.0899  +0.3850  +0.0649  +0.0148    34   975  -7.1322  9.880e-13     1
MRO1 2024-06-12 2024-06-17  -0.2600  -0.4453  +0.0184  +0.0253  1090   542  +5.9231  3.160e-09     1
NAUR 2024-07-04 2024-07-09  -0.2140  -0.7537  +0.0691  +0.0575   337   512  +6.0047  1.917e-09     1
NAUR 2025-12-05 2025-12-06  -0.7537  -0.2705  +0.0575  +0.2823   512    24  -1.6773  9.349e-02     0
PENC 1997-01-03 1997-01-12  +0.6349  +0.7051  +0.0369  +0.0155   231   961  -1.7510  7.994e-02     0
PETP 2005-01-27 2005-02-01  +0.5643  +0.5614  +0.0149  +0.0104   436   996  +0.1566  8.756e-01     0
PETP 2008-02-15 2008-03-05  +0.5614  +0.3337  +0.0104  +0.0125   996   721 +13.9606  2.712e-44     1
POVE 2008-07-02 2008-07-19       NA  +0.0204       NA  +0.0237    NA  2288       NA         NA    NA
PVEP 1999-06-12 1999-06-30  -0.0803  -0.0625  +0.0348  +0.0418   501   367  -0.3272  7.435e-01     0
QUI2 2007-01-29 2007-02-08  -0.9725  -0.4250  +0.0938  +0.0257    80   867  -5.6310  1.792e-08     1
QUI2 2009-07-11 2009-08-01  -0.4250       NA  +0.0257       NA   867    NA       NA         NA    NA
QUIN 2004-12-31 2005-01-14  -0.5952  -0.5014  +0.0179  +0.0123   965  2119  -4.3233  1.537e-05     1
RABT 2005-04-26 2005-04-27  +0.5325  -0.2884  +0.0203  +0.0713  1592   188 +11.0756  1.648e-28     1
RIGA 2022-12-04 2022-12-21  +0.3015  +0.2017  +0.0212  +0.0137   443  1078  +3.9515  7.766e-05     1
SEY1 1995-10-21 1997-02-03       NA  -0.9402       NA  +0.0370    NA  1426       NA         NA    NA
SIMO 2007-07-19 2007-07-28  +0.0998  +0.1285  +0.0504  +0.0424   261   282  -0.4346  6.638e-01     0
SOLA 2004-03-07 2004-04-02       NA  +1.1357       NA  +0.0640    NA    83       NA         NA    NA
SOLA 2004-07-20 2004-07-24  +1.1357  +0.6737  +0.0640  +0.0678    83    92  +4.9571  7.154e-07     1
SOLA 2007-05-31 2007-06-04  +0.6737  +0.3799  +0.0678  +0.0315    92   298  +3.9301  8.490e-05     1
SYDN 2014-08-15 2014-08-26  -0.3270  -0.3335  +0.0116  +0.0493  3566   240  +0.1273  8.987e-01     0
THU1 1998-03-25 1998-04-10  -0.2623  -0.3393  +0.0094  +0.0099   845   851  +5.6236  1.870e-08     1
THU1 2002-02-24 2002-02-25  -0.0528  +0.3122  +0.0158  +0.0340   207    41  -9.7430  1.976e-22     1
TXES 2015-08-30 2015-09-11  -0.2702  -0.0725  +0.0316  +0.0200   499  1388  -5.2855  1.254e-07     1
