name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
ADIS 2019-01-15 2019-02-10  +0.5802  +0.1672  +0.0326  +0.0198   602  1668 +10.8323  2.420e-27     1
AIRA 2011-10-27 2011-11-11  -1.4563  -0.8427  +0.0799  +0.0434   167   232  -6.7515  1.463e-11     1
ALRT 2011-04-06 2011-04-25  +0.3228  +0.4345  +0.0131  +0.0058   111   909  -7.8002  6.181e-15     1
AOML 1998-06-05 1998-07-18  -0.5684  -0.9405  +0.0795  +0.0436   178   796  +4.1054  4.036e-05     1
AREQ 2004-08-09 2004-09-06  +1.7972  +1.5011  +0.0313  +0.0122   902  6011  +8.8255  1.090e-18     1
ARTU 2000-01-06 2000-01-30  +0.1790  +0.3410  +0.0307  +0.0079   140  2038  -5.1157  3.126e-07     1
ARTU 2006-01-13 2006-02-16  +0.3410  +0.4335  +0.0079  +0.0108  2038  1184  -6.9014  5.151e-12     1
ARTU 2019-01-12 2019-02-21  +0.0635  +0.1416  +0.0067  +0.0120  2713   940  -5.6758  1.380e-08     1
ASPA 2019-08-24 2019-09-08  -0.4511  -1.1781  +0.0162  +0.0439  5822   793 +15.5413  1.821e-54     1
ASPA 2024-04-22 2024-04-23  +0.1213  -0.4562  +0.0527  +0.0558   543   496  +7.5200  5.477e-14     1
BAKO 1999-08-02 1999-09-09  +0.1317  -1.1467  +0.0681  +0.0866   407   239 +11.6063  3.829e-31     1
BAKO 2000-08-11 2000-08-22  -1.1467  -2.0289  +0.0866  +0.0891   239   233  +7.0990  1.256e-12     1
BAKO 2003-07-15 2003-07-19  -0.3697  +0.2874  +0.0573  +0.0985   565   190  -5.7648  8.177e-09     1
BAN2 2002-12-09 2003-01-04       NA  +2.3257       NA  +0.1153    NA    72       NA         NA    NA
BDOS 2009-03-26 2009-05-03  -0.4009  -0.1695  +0.0353  +0.0327  1039  1234  -4.8097  1.511e-06     1
BHR1 2003-05-07 2003-05-23  +4.4532  +3.9278  +0.0833  +0.0792   130   155  +4.5728  4.812e-06     1
BILI 2006-10-20 2006-11-18  +0.2232  -0.0536  +0.0227  +0.0221   190    59  +8.7307  2.532e-18     1
BISK 2015-02-11 2015-02-13  +0.2998  +0.4389  +0.0232  +0.0150   356   878  -5.0319  4.857e-07     1
BISK 2019-01-09 2019-01-13  +0.4389  +0.6954  +0.0150  +0.0171   878   686 -11.2749  1.745e-29     1
BJCO 2014-12-25 2015-01-03  +0.9683  +1.0127  +0.0305  +0.0432  1727   844  -0.8397  4.011e-01     0
BJCO 2017-12-22 2017-12-27  +1.0127  +1.0632  +0.0432  +0.0753   844   333  -0.5813  5.610e-01     0
BJNM 2015-01-02 2015-01-28  +0.5871  +0.2992  +0.0261  +0.0350   299   217  +6.5993  4.131e-11     1
BJNM 2018-03-12 2018-03-14  +0.5727  +0.6515  +0.0158  +0.0205   549   400  -3.0450  2.327e-03     1
BOAV 2023-09-28 2023-10-16  -0.7828  -1.1433  +0.0599  +0.0992   264    89  +3.1096  1.874e-03     1
BOGT 1998-11-11 1999-02-26  -0.8403  -0.5731  +0.0880  +0.0249    59   919  -2.9198  3.502e-03     1
BOGT 2005-05-19 2005-05-28  -0.5731  -0.6262  +0.0249  +0.0112   919  4615  +1.9416  5.218e-02     0
BREW 2025-12-07 2025-12-30  -0.1291       NA  +0.0081       NA  4211    NA       NA         NA    NA
BRMU 1998-03-21 1998-03-25  -0.3287  -0.6388  +0.0235  +0.0293  1350   933  +8.2619  1.433e-16     1
BSHM 2001-11-25 2002-03-25  +0.1204  -0.1296  +0.0459  +0.0118   204  3379  +5.2798  1.293e-07     1
BUE2 2007-09-04 2007-09-14  +0.2007  +0.2029  +0.0335  +0.0266   623  1002  -0.0528  9.579e-01     0
CAGS 2014-01-02 2014-01-06       NA  -0.1633       NA  +0.0232    NA   328       NA         NA    NA
CAGS 2015-01-08 2015-01-29  -0.1633  -0.2411  +0.0232  +0.0149   328   732  +2.8207  4.792e-03     1
CAS1 1997-09-28 1997-11-05  +0.9489  -0.2971  +0.0247  +0.0118   101   488 +45.5302  0.000e+00     1
CCJM 2002-02-03 2002-02-04  -0.0301  +0.3347  +0.0539  +0.0233   322  1632  -6.2080  5.367e-10     1
CCJM 2006-09-23 2006-09-27  +0.3347  +0.0931  +0.0233  +0.0232  1632  1569  +7.3446  2.064e-13     1
CGGN 2013-11-27 2013-12-04  +1.0668  +0.7701  +0.0380  +0.0466   463   324  +4.9333  8.084e-07     1
CHUM 1997-10-14 1997-10-30       NA  -0.2012       NA  +0.0809    NA    54       NA         NA    NA
CORD 1999-08-04 1999-10-26       NA  +1.8233       NA  +0.0267    NA  1070       NA         NA    NA
CRO1 2000-04-27 2000-05-22  -0.4028  +0.4021  +0.0864  +0.0318   222  1679  -8.7455  2.220e-18     1
DAEJ 2000-09-19 2000-10-11  +0.5621  +0.3855  +0.0248  +0.0127   476  1373  +6.3373  2.338e-10     1
DAV1 1998-02-15 1998-03-15  -0.2814  -0.8802  +0.0097  +0.0097   395   385 +43.6288  0.000e+00     1
DAV1 1999-07-24 1999-08-13  -0.8802  -0.1298  +0.0097  +0.0134   385   211 -45.3083  0.000e+00     1
DAVR 2005-04-10 2005-04-25  -0.0419  -0.3023  +0.0085  +0.0179   508   109 +13.1271  2.302e-39     1
DUBO 1998-02-14 1998-02-20  +0.7907  +0.8421  +0.0173  +0.0172   381   486  -2.1122  3.467e-02     1
EIL1 2004-11-14 2004-12-16  -0.0298  +0.1854  +0.0090  +0.0123  1445   720 -14.0871  4.558e-45     1
EIL1 2007-01-06 2007-02-12  +0.1854  +0.1044  +0.0123  +0.0096   720  1221  +5.1807  2.210e-07     1
EISL 1994-05-04 1994-09-28       NA  -1.0142       NA  +0.0238    NA  1907       NA         NA    NA
EPRT 1999-01-23 1999-01-24  +0.8290  +0.5035  +0.0421  +0.0225   107   476  +6.8147  9.448e-12     1
ETAD 2010-01-20 2010-01-24  +0.0441  +0.2109  +0.0379  +0.0350   438   506  -3.2358  1.213e-03     1
FAIR 2015-11-25 2015-12-29  +0.5769  +0.2940  +0.0048  +0.0126  4140   629 +20.9514  1.822e-97     1
FAIR 2021-12-25 2022-01-22  +0.9547  +0.8534  +0.0176  +0.0180   325   320  +4.0228  5.751e-05     1
FAIR 2023-02-05 2023-03-07  +1.8393  +1.1735  +0.0347  +0.0129    48   610 +18.0066  1.730e-72     1
FRDN 2023-01-17 2023-01-18  +0.3420  +0.2365  +0.0091  +0.0141  2378   985  +6.2639  3.754e-10     1
GALA 2002-10-26 2002-11-08  +0.7749       NA  +0.0355       NA  1074    NA       NA         NA    NA
GMAS 2003-04-13 2008-02-19       NA  -0.7214       NA  +0.0294    NA   866       NA         NA    NA
GOUG 2003-08-12 2003-08-29  +0.0140  -0.4363  +0.0217  +0.0461  1335   294  +8.8403  9.542e-19     1
GOUG 2008-05-14 2008-06-13  +1.8490  +2.5895  +0.0925  +0.0821    81    77  -5.9884  2.119e-09     1
HERS 2004-07-29 2004-08-24  +0.3598  +0.5077  +0.0163  +0.0116  1050  2071  -7.3947  1.418e-13     1
HLFX 2002-12-21 2003-01-12       NA  +0.0704       NA  +0.0071    NA  4963       NA         NA    NA
HNPT 1999-01-17 1999-03-02  +0.9129  +1.1617  +0.0306  +0.0356   545   352  -5.3052  1.126e-07     1
HOB2 1998-08-14 1998-08-15  -0.1408  -0.4449  +0.0227  +0.0343   585   271  +7.3971  1.392e-13     1
HYDE 2015-09-18 2015-09-26  +0.4426  +1.1340  +0.0274  +0.0303  1702  1397 -16.9413  2.230e-64     1
HYDE 2025-07-02 2025-08-12  -0.0577       NA  +0.0326       NA  1250    NA       NA         NA    NA
INEG 1999-12-01 2000-05-27       NA  -0.2565       NA  +0.0179    NA  1837       NA         NA    NA
INVK 2015-11-27 2016-02-22  -0.1287  -0.3202  +0.0080  +0.0152   907   248 +11.1431  7.742e-29     1
IRKT 2000-02-24 2000-04-29  -0.0874  +0.1219  +0.0134  +0.0181   663   414  -9.2982  1.428e-20     1
IRKT 2011-01-09 2011-02-15  -0.2698  -0.2668  +0.0066  +0.0245  2768   203  -0.1172  9.067e-01     0
JAB1 2000-09-01 2000-09-10  -0.9401  -0.5700  +0.0548  +0.0305   498  1776  -5.9022  3.587e-09     1
JOZ2 2012-04-27 2012-05-03  +0.4777  +0.3596  +0.0112  +0.0108  1287  1506  +7.5973  3.025e-14     1
JOZE 1994-12-26 1995-01-27  +0.7277  -0.1695  +0.0258  +0.0180   321   662 +28.4981 1.235e-178     1
JPLV 2009-03-22 2009-04-05  +0.0438  +0.3123  +0.0320  +0.0231   400   864  -6.7990  1.053e-11     1
KARR 2006-10-20 2006-10-31  -1.0476  -0.8514  +0.0212  +0.0163  1921  3258  -7.3238  2.410e-13     1
KHAJ 2010-01-06 2010-01-24  +0.8929  +0.8830  +0.0153  +0.0150   326   325  +0.4624  6.438e-01     0
KHAJ 2011-01-25 2011-02-22  +0.8830  +0.9433  +0.0150  +0.0181   325   293  -2.5639  1.035e-02     1
KHAJ 2012-01-06 2012-02-26  +0.9433       NA  +0.0181       NA   293    NA       NA         NA    NA
KHAR 2005-11-06 2005-11-08  +0.6219  +0.6242  +0.0187  +0.0127   612  1145  -0.1017  9.190e-01     0
KIRU 2004-01-11 2004-02-17  +0.7454  +0.7969  +0.0066  +0.0199  2328   284  -2.4542  1.412e-02     1
KIRU 2005-12-13 2006-01-09  +0.7903  +0.8791  +0.0214  +0.0176   273   327  -3.2121  1.318e-03     1
KIRU 2007-01-10 2007-02-01  +0.8791  +0.8058  +0.0176  +0.0208   327   276  +2.6925  7.091e-03     1
KIRU 2007-11-12 2007-12-14  +0.8058  +0.8626  +0.0208  +0.0074   276  1777  -2.5706  1.015e-02     1
KOKB 1996-05-19 1996-07-28  -1.4060  -1.8912  +0.0797  +0.0224   103  1438  +5.8623  4.565e-09     1
KOSG 2014-11-14 2014-11-25  +0.2740       NA  +0.0291       NA   225    NA       NA         NA    NA
KOU1 2005-01-14 2005-01-27  +0.4602  -0.0653  +0.0541  +0.0824   564   215  +5.3298  9.834e-08     1
KOU1 2005-09-28 2005-09-30  -0.0653  +0.2729  +0.0824  +0.0709   215   321  -3.1100  1.871e-03     1
KSMV 2010-02-25 2010-02-26  -0.0271  +0.1437  +0.0213  +0.0264  1099   711  -5.0418  4.613e-07     1
KSTU 2001-03-18 2001-03-26  +0.0604  +0.3260  +0.0261  +0.0147   203   732  -8.8713  7.232e-19     1
LAMA 2006-01-04 2006-02-08  -0.1718  -0.2545  +0.0105  +0.0188  1812   613  +3.8368  1.247e-04     1
LAUT 2019-12-04 2019-12-06  +0.1977  -0.2437  +0.0439  +0.0297   987  2171  +8.3195  8.831e-17     1
LHAS 1996-11-06 1996-12-03  +0.7463  +1.0307  +0.0379  +0.0307   354   510  -5.8307  5.519e-09     1
MAC1 2009-03-26 2009-04-19  +0.7960  +0.7841  +0.0127  +0.0146  1209   900  +0.6172  5.371e-01     0
MADR 2004-10-25 2004-11-07  -0.0108  +0.1660  +0.0457  +0.0259   211   436  -3.3683  7.562e-04     1
MADR 2024-02-07 2024-02-29  +0.1660  +0.0714  +0.0259  +0.0223   436   666  +2.7685  5.631e-03     1
MALD 2000-07-16 2000-07-22  -0.6174  +0.0829  +0.0667  +0.1039   311   118  -5.6733  1.401e-08     1
MALI 2006-02-05 2006-02-24  -0.2097  -0.5472  +0.0292  +0.0465  2210   886  +6.1524  7.633e-10     1
MAUI 2000-10-25 2000-11-16  +0.2873  +0.3933  +0.0158  +0.0060   556  3676  -6.2721  3.562e-10     1
MAW1 1999-07-24 1999-08-05  +0.4134  +0.7835  +0.0169  +0.0045   123  1898 -21.1832  1.365e-99     1
MDO1 2013-11-18 2013-12-09  +0.8292  +0.2830  +0.0178  +0.0132   948  1615 +24.6472 3.945e-134     1
MDVJ 2005-09-20 2005-10-13  +1.2614  +0.7442  +0.0516  +0.0120   137  1055  +9.7662  1.572e-22     1
MDVO 1999-02-23 1999-03-22  +0.3482  +0.3381  +0.0203  +0.0154   410   866  +0.3974  6.911e-01     0
MDVO 2002-10-16 2003-01-15  +0.2378       NA  +0.0371       NA   193    NA       NA         NA    NA
MOBJ 2007-01-19 2007-02-21  +0.1721  +1.4938  +0.0284  +0.0171   277   682 -39.9053  0.000e+00     1
MOBJ 2018-02-03 2018-03-19  +0.6394  +0.4775  +0.0103  +0.0153  1813   899  +8.7976  1.398e-18     1
MOBK 2018-02-03 2018-03-19  +0.5742  +0.3850  +0.0117  +0.0148  1436   975 +10.0436  9.803e-24     1
MORP 2014-06-23 2014-07-08  -0.4182  -0.3126  +0.0352  +0.0193   159   650  -2.6295  8.552e-03     1
MRO1 2024-06-12 2024-06-17  -0.2600  -0.4453  +0.0184  +0.0253  1090   542  +5.9231  3.160e-09     1
MSKU 2006-08-02 2006-08-13  +0.3208  -0.0643  +0.0586  +0.1867   646    59  +1.9682  4.905e-02     1
NAIN 2010-12-15 2010-12-17  +0.3684  +0.2898  +0.0084  +0.0100  1526  1013  +5.9913  2.082e-09     1
NAIN 2017-02-26 2017-03-04  +0.2898  +0.2764  +0.0100  +0.0116  1013   757  +0.8747  3.818e-01     0
NAUR 2018-03-19 2018-04-13  +0.2100  +0.8187  +0.0652  +0.0511   365   636  -7.3502  1.979e-13     1
NAUR 2024-07-04 2024-07-09  -0.2140  -0.7537  +0.0691  +0.0575   337   512  +6.0047  1.917e-09     1
NAUR 2025-12-05 2025-12-30  -0.7537       NA  +0.0575       NA   512    NA       NA         NA    NA
NICO 2025-06-03 2025-07-06  +0.9076  +0.4985  +0.0424  +0.0610   204   175  +5.5073  3.645e-08     1
NRC1 1998-01-11 1998-02-28  +0.3880  +0.2015  +0.0185  +0.0110   679  1686  +8.6872  3.714e-18     1
NRIL 2006-11-08 2006-12-11  -0.2857  -0.3368  +0.0053  +0.0274  1966    42  +1.8355  6.644e-02     0
NRIL 2007-02-07 2007-02-25  -0.3368  -0.3105  +0.0274  +0.0171    42   260  -0.8156  4.147e-01     0
