name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
ABPO 2016-03-27 2016-03-29  -0.4167  -0.3382  +0.0348  +0.0497   718   254  -1.2952  1.952e-01     0
ABPO 2020-05-10 2020-05-11  +0.0574  -0.3096  +0.0415  +0.0505   573   326  +5.6140  1.978e-08     1
ABPO 2021-04-07 2021-06-15  -0.3096  -0.4462  +0.0505  +0.0336   326   769  +2.2505  2.441e-02     1
ABPO 2024-08-18 2025-05-04  +0.3937       NA  +0.0624       NA   231    NA       NA         NA    NA
AOML 1998-06-05 1998-08-15  -0.6636  -1.0639  +0.0795  +0.0658   178   312  +3.8779  1.054e-04     1
AOML 1999-07-22 1999-10-03  -1.0639  -1.2048  +0.0658  +0.0771   312   215  +1.3893  1.647e-01     0
AREQ 1994-04-18 1994-12-08       NA  +1.2862       NA  +0.0244    NA  1480       NA         NA    NA
AREQ 2004-08-09 2004-09-06  +1.7972  +1.5011  +0.0313  +0.0122   902  6011  +8.8255  1.090e-18     1
AREV 2011-11-08 2012-01-11       NA  +2.1145       NA  +0.0665    NA   189       NA         NA    NA
AREV 2014-02-02 2014-04-20  +1.4507  +1.5135  +0.0487  +0.0383   429   606  -1.0135  3.108e-01     0
AREV 2016-01-08 2016-03-30  +1.5135  +1.6092  +0.0383  +0.0400   606   524  -1.7290  8.382e-02     0
ASC1 2003-12-28 2004-01-10  -0.5906  -0.3924  +0.0232  +0.0540  1481   319  -3.3753  7.373e-04     1
BADG 2005-12-26 2006-02-12  +0.0641  +0.0192  +0.0280  +0.0086   237  1279  +1.5303  1.259e-01     0
BDOS 2009-03-26 2009-05-03  -0.4050  -0.0453  +0.0353  +0.0928  1039   164  -3.6237  2.904e-04     1
BDOS 2009-11-14 2009-11-22  -0.0453  -0.1693  +0.0928  +0.0351   164  1061  +1.2509  2.110e-01     0
BILI 2001-12-15 2002-01-24  +0.0794  +0.1709  +0.0090  +0.0050   689  2121  -8.8710  7.252e-19     1
BISK 2015-02-11 2015-02-13  +0.2916  +0.4172  +0.0232  +0.0158   356   783  -4.4808  7.437e-06     1
BJCO 2014-12-25 2015-01-03  +0.9683  +1.0127  +0.0305  +0.0432  1727   844  -0.8397  4.011e-01     0
BJCO 2017-12-22 2017-12-27  +1.0127  +1.0632  +0.0432  +0.0753   844   333  -0.5813  5.610e-01     0
BJNM 2015-01-02 2015-01-28  +0.5871  +0.2992  +0.0261  +0.0350   299   217  +6.5993  4.131e-11     1
BJNM 2018-03-12 2018-03-14  +0.5727  +0.6515  +0.0158  +0.0205   549   400  -3.0450  2.327e-03     1
BNDY 2009-02-14 2009-02-26  -0.0620  -0.3248  +0.0555  +0.0598   324   230  +3.2206  1.279e-03     1
BNDY 2009-11-07 2009-11-19  -0.3248  -0.1119  +0.0598  +0.0164   230  3527  -3.4322  5.987e-04     1
BNDY 2022-09-11 2022-09-11  -0.1119  +0.0447  +0.0164  +0.0287  3527  1161  -4.7395  2.142e-06     1
BOGT 1998-06-15 1999-02-26  +0.3641  -0.5731  +0.0427  +0.0249   309   919 +18.9494  4.464e-80     1
