name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
ABMF 2014-01-02 2014-08-03   -0.39127666    0.06982784  195
ABMF 2014-08-04 2014-11-23   -1.27809755    0.10262015  112
ABMF 2014-11-24 2015-09-14   -0.26242187    0.06878306  218
ABMF 2015-09-15 2015-11-26   -1.36129306    0.13201661   72
ABMF 2015-11-27 2017-11-01   -0.23352943    0.05171341  368
ABMF 2017-11-03 2017-11-04   -5.40408695    0.86071588    2
ABMF 2017-11-06 2024-02-08    0.14863839    0.02193832 2152
ABMF 2024-02-09 2024-02-10   -4.89088635    0.65816934    2
ABMF 2024-02-11 2024-10-02    0.06099789    0.06429258  235
ABMF 2024-10-03 2024-10-24   -1.48897344    0.22805745   22
ABMF 2024-10-25 2025-08-14    0.22637394    0.05886672  293
ABMF 2025-08-15 2025-08-18    3.80132721    0.50734421    4
ABMF 2025-08-19 2025-12-30    0.47408557    0.09509020  134
ABPO 2014-01-02 2014-09-22   -0.52273126    0.06004825  196
ABPO 2014-09-23 2014-09-24   -2.87623179    0.48480986    2
ABPO 2014-09-25 2015-01-27   -0.01113246    0.09915017  119
ABPO 2015-01-28 2015-01-31   -4.24289519    0.64745206    4
ABPO 2015-02-01 2015-03-11    0.00008084    0.21780554   36
ABPO 2015-03-12 2015-04-29   -1.37754705    0.17590745   49
ABPO 2015-04-30 2015-07-11    0.07578597    0.09714098   71
ABPO 2015-07-12 2015-07-24   -1.49650328    0.19750215   13
ABPO 2015-07-25 2016-03-26   -0.39218868    0.06250027  228
ABPO 2016-03-27 2016-03-29    5.11125201    0.78651629    3
ABPO 2016-03-30 2018-09-21   -0.34780542    0.04966587  254
ABPO 2018-09-22 2020-04-06    0.06689983    0.04246151  542
ABPO 2020-04-07 2020-04-10   -3.49453907    0.58015578    4
ABPO 2020-04-11 2020-05-09    0.24759048    0.20992586   27
ABPO 2020-05-10 2020-05-11   -4.55166682    0.69478677    2
ABPO 2020-05-12 2021-04-06   -0.30878576    0.05051064  326
ABPO 2021-04-07 2021-06-15    0.55891527    0.11419393   70
ABPO 2021-06-16 2021-11-16   -0.58573686    0.06175665  154
ABPO 2021-11-17 2021-11-23   -2.87500105    0.42641053    7
ABPO 2021-11-24 2023-12-27   -0.36493902    0.04028115  608
ABPO 2023-12-28 2024-08-17    0.38633773    0.06238392  231
ABPO 2024-08-18 2025-01-21   -0.38837629    0.08474744   92
ABPO 2025-01-22 2025-05-04    0.75104320    0.12303129  103
ADE1 1999-03-18 2000-05-01    0.24615976    0.03450479  344
ADE1 2000-05-02 2000-05-02    3.75509207    0.62444445    1
ADE1 2000-05-03 2004-12-03    0.67542697    0.01588241 1564
ADE1 2004-12-04 2006-01-02    0.31002201    0.03289603  382
ADE1 2006-01-03 2006-01-09    1.91724066    0.29292548    7
ADE1 2006-01-10 2006-02-15   -0.24758476    0.13969743   32
ADE1 2006-02-16 2010-09-14    0.51893871    0.01613064 1540
ADIS 2008-03-14 2010-01-11    0.14846107    0.04284334  356
ADIS 2010-01-23 2010-01-24   -3.78164008    0.50846450    2
ADIS 2010-01-25 2010-12-05    0.30647754    0.05380066  223
ADIS 2010-12-06 2011-01-13   -0.68035382    0.12918914   34
ADIS 2011-01-14 2012-04-14    0.22304708    0.04020832  394
ADIS 2012-04-15 2013-01-25    0.56378472    0.05057382  255
ADIS 2013-01-26 2013-01-31    1.89920036    0.29356211    6
ADIS 2013-02-01 2013-02-06   -0.87648915    0.30436342    6
ADIS 2013-02-07 2013-03-13    1.31196928    0.13337011   34
ADIS 2013-03-14 2013-04-05   -0.59600865    0.18892032   21
ADIS 2013-04-06 2015-09-23    0.33363652    0.02981385  752
ADIS 2015-09-25 2015-09-26    4.19541630    0.59310314    2
ADIS 2015-09-27 2015-10-13    1.01865862    0.18950120   17
ADIS 2015-10-14 2016-01-21   -0.21054069    0.08181203   89
ADIS 2016-01-22 2016-01-26    2.07937470    0.32158118    5
ADIS 2016-01-27 2016-01-30   -1.64256927    0.35953869    4
ADIS 2016-01-31 2016-10-12    0.07961172    0.05408696  232
ADIS 2016-10-13 2019-01-15    0.56878721    0.03256950  603
ADIS 2019-01-16 2019-01-24    2.85261039    0.25423225    8
ADIS 2019-01-25 2019-10-29    0.56611394    0.07359393  134
ADIS 2019-10-30 2019-12-26   -0.78801503    0.16042454   24
ADIS 2019-12-27 2021-02-04    0.27338690    0.04482552  315
ADIS 2021-02-05 2022-04-24   -0.88370364    0.15488782   24
ADIS 2022-04-25 2023-12-06    0.22997105    0.03649083  489
ADIS 2024-01-03 2024-01-14   -1.80479080    0.20757976   12
ADIS 2024-01-15 2024-02-26   -0.18366971    0.11333251   42
ADIS 2024-02-27 2024-03-01   -3.29729243    0.38304203    4
ADIS 2024-03-02 2025-12-30    0.18570569    0.03222828  636
AIRA 2003-02-20 2005-06-23   -0.17956730    0.02575126  835
AIRA 2005-06-24 2005-07-13   -1.57860778    0.24521518   19
AIRA 2005-07-14 2005-11-23    0.21558362    0.08688717  125
AIRA 2005-11-24 2008-09-11   -0.31795077    0.02328666  988
AIRA 2008-09-12 2008-10-05   -1.76310825    0.23408566   23
AIRA 2008-10-10 2009-02-23   -0.56939985    0.05110515  134
AIRA 2009-02-24 2009-02-26   -2.80920910    0.34268896    3
AIRA 2009-02-27 2010-02-06   -0.59275666    0.04134338  330
AIRA 2010-02-07 2010-03-03   -1.54836361    0.12003215   25
AIRA 2010-03-04 2011-04-26   -0.86535371    0.03661340  407
AIRA 2011-04-27 2011-10-26   -1.45362083    0.07987352  167
AIRA 2011-10-27 2011-11-11   -2.71212670    0.19177844   16
AIRA 2011-11-12 2012-07-05   -0.84931246    0.04335049  232
AIRA 2012-07-06 2013-12-30   -1.42952314    0.03415179  493
AIRA 2023-01-08 2025-09-27   -0.43388016    0.02439060  950
AIRA 2025-09-28 2025-10-17    1.35109295    0.21605627   20
AIRA 2025-10-18 2025-12-30    0.26701748    0.08520588   64
ALBH 1994-01-06 1994-04-10   -0.00635257    0.05462807   81
ALBH 1994-04-11 1995-06-28    0.41248668    0.03289613  352
ALBH 1995-06-29 1995-08-17   -0.62131040    0.12465908   49
ALBH 1995-08-18 1997-01-30    0.24363716    0.02593859  526
ALBH 1997-01-31 1997-02-11    1.20133075    0.13235969   12
ALBH 1997-02-12 1997-11-07    0.05798201    0.03895048  258
ALBH 1997-11-08 1998-02-21    0.51158483    0.04976608  105
ALBH 1998-02-22 1998-06-22   -0.05731754    0.05016519  121
ALBH 1998-06-23 1998-08-03   -1.04712440    0.13024784   39
ALBH 1998-08-04 2000-06-29    0.31766487    0.02270817  657
ALBH 2000-06-30 2000-08-01   -0.68453847    0.14857123   33
ALBH 2000-08-02 2002-06-19    0.19448105    0.02255839  670
ALBH 2002-06-20 2002-07-17   -0.90247945    0.14546670   28
ALBH 2002-07-18 2002-10-22    0.14351249    0.08299866   93
ALBH 2002-10-23 2002-11-05    1.45457109    0.16731323   14
ALBH 2002-11-06 2004-05-29    0.29270145    0.02382118  557
ALBH 2004-05-30 2004-07-24   -0.53666877    0.09818598   56
ALBH 2004-07-25 2010-03-03    0.21675402    0.01325021 1984
ALBH 2010-03-04 2010-10-07   -0.14891777    0.04512936  210
ALBH 2010-10-08 2013-06-02    0.10637380    0.01868951  946
ALBH 2013-06-03 2013-06-06    2.33119785    0.33677741    4
ALBH 2013-06-07 2013-09-08    0.45839812    0.08404351   93
ALBH 2013-09-09 2013-09-15    2.16446360    0.30122835    7
ALBH 2013-09-16 2014-06-01    0.07425619    0.03419069  254
ALBH 2014-06-02 2014-06-11    1.71128283    0.21299674   10
ALBH 2014-06-12 2016-04-05    0.26449685    0.02326845  641
ALBH 2016-04-06 2022-09-25    0.71475614    0.01242628 2312
ALBH 2022-09-26 2022-10-17    1.80245358    0.14823423   22
ALBH 2022-10-18 2025-12-30    0.71630648    0.01742173 1148
ALGO 1994-01-06 1994-03-01    0.17512943    0.04443436   47
ALGO 1994-03-02 1994-08-25    0.48856917    0.04685651  146
ALGO 1994-08-26 1994-11-04   -0.29323803    0.07649190   66
ALGO 1994-11-05 1996-01-22    0.21362221    0.02435340  307
ALGO 1996-01-24 1996-02-19   -0.21548515    0.06406768   23
ALGO 1996-02-21 1996-02-21    1.26946057    0.31322364    1
ALGO 1996-02-22 1996-02-23   -1.82741300    0.22148256    2
ALGO 1996-02-24 1997-01-24    0.09539189    0.02636467  307
ALGO 1997-01-25 1997-03-22   -0.33607346    0.04397443   55
ALGO 1997-03-23 1998-01-08    0.16930849    0.03120089  262
ALGO 1998-01-09 1998-01-30   -0.29298275    0.06330655   22
ALGO 1998-01-31 1998-02-28    0.49858397    0.06015447   27
ALGO 1998-03-01 1998-11-29   -0.17207448    0.03469113  253
ALGO 1998-11-30 1998-12-12    0.62161249    0.09225420   13
ALGO 1998-12-13 2000-08-31   -0.01595862    0.01797383  585
ALGO 2000-09-01 2002-04-21   -0.18502724    0.01744064  563
ALGO 2002-04-22 2006-11-30    0.04115399    0.01169941 1529
ALGO 2006-12-01 2006-12-13   -0.44232232    0.09101268   13
ALGO 2006-12-14 2008-04-17    0.13493166    0.01868182  463
ALGO 2008-04-18 2008-04-22    1.52202229    0.21013846    5
ALGO 2008-04-23 2012-03-17    0.07443706    0.01259204 1248
ALGO 2012-03-18 2012-03-22    1.17287105    0.16075080    5
ALGO 2012-03-23 2013-12-21    0.06757785    0.01966867  562
ALGO 2013-12-22 2014-01-08   -0.47513536    0.07380141   18
ALGO 2014-01-09 2024-01-23    0.05663906    0.00761947 3181
ALGO 2024-01-24 2024-03-15    0.53971603    0.04461358   52
ALGO 2024-03-16 2025-12-30    0.08098368    0.01935962  554
ALIC 1995-02-21 1995-10-28   -0.23374525    0.07353438   51
ALIC 1995-10-29 1996-05-30    0.48548559    0.07062634   92
ALIC 1996-05-31 1996-10-08   -0.61192596    0.05183103   90
ALIC 1996-10-10 1998-02-28    0.09811362    0.03544616  319
ALIC 1998-03-01 1998-03-26   -2.65202714    0.17460260   26
ALIC 1998-03-27 1998-07-03   -1.17967597    0.06539778   72
ALIC 1998-07-04 1998-07-07    0.61351878    0.23495168    4
ALIC 1998-07-08 1998-07-21   -2.12526262    0.12558695   14
ALIC 1998-07-22 1998-07-23   -5.64653009    0.33227185    2
ALIC 1998-07-24 1998-08-11   -1.97569339    0.10417206   18
ALIC 1998-08-13 1998-08-13   -5.58477951    0.42287900    1
ALIC 1998-08-14 1999-04-01   -1.11330727    0.05089108  194
ALIC 1999-04-02 1999-04-03    2.33297148    0.46505979    2
ALIC 1999-04-04 2000-01-12   -1.48719000    0.03623217  241
ALIC 2000-01-13 2000-06-13   -0.37520992    0.05573628  145
ALIC 2000-06-14 2000-07-21   -1.48453920    0.07725035   38
ALIC 2000-07-22 2000-10-21   -0.66869914    0.05260626   91
ALIC 2000-10-22 2000-11-06    1.11545906    0.18962613   16
ALIC 2000-11-07 2001-07-17   -0.66056134    0.04312562  242
ALIC 2001-07-18 2001-07-22   -2.71425045    0.21014717    5
ALIC 2001-07-23 2002-09-25   -0.77546786    0.02864539  406
ALIC 2002-09-26 2006-04-20   -0.46210161    0.01834667 1176
ALIC 2006-04-21 2010-10-22   -0.27889350    0.01512387 1547
ALIC 2010-10-23 2011-06-07   -1.41171566    0.05177933  204
ALIC 2011-06-08 2018-06-26   -0.38999155    0.01229278 2442
ALIC 2018-06-27 2021-09-12   -0.09720049    0.01825462 1043
ALIC 2021-09-13 2023-07-26   -0.64928036    0.02468625  651
ALIC 2023-07-27 2023-07-30   -2.52493637    0.23495168    4
ALIC 2023-07-31 2024-01-10   -0.27689072    0.04888033  160
ALIC 2024-01-11 2025-12-30   -0.82976891    0.02346756  663
ALRT 2002-11-20 2002-12-22    0.58707683    0.02788481   29
ALRT 2002-12-24 2003-05-14    0.37953310    0.01215847  139
ALRT 2003-05-15 2003-07-14    0.77177110    0.03646982   56
ALRT 2003-07-16 2004-12-09    0.52236483    0.00804257  475
ALRT 2004-12-11 2005-03-13    0.29539551    0.01487303   90
ALRT 2005-03-14 2006-04-08    0.57225462    0.00868481  370
ALRT 2006-04-09 2006-04-28    0.22248799    0.03496221   20
ALRT 2006-04-29 2006-11-10    0.53461987    0.01654224  189
ALRT 2006-11-11 2006-11-28    0.18524883    0.03302630   18
ALRT 2006-11-29 2006-12-16    0.68201515    0.03637069   18
ALRT 2006-12-17 2007-01-31    0.42502607    0.02142961   46
ALRT 2007-02-01 2007-02-04   -0.18442076    0.07003983    4
ALRT 2007-02-05 2007-09-28    0.30094905    0.01247277  231
ALRT 2007-09-29 2007-11-25    0.57650231    0.02059509   58
ALRT 2007-11-26 2008-02-24    0.33670882    0.01523318   91
ALRT 2008-02-25 2008-05-07    0.47838075    0.01665096   72
ALRT 2008-05-08 2009-03-30    0.69164356    0.00974257  307
ALRT 2009-03-31 2010-11-18    0.51740947    0.00772206  547
ALRT 2010-11-19 2011-04-05    0.29574766    0.01309584  111
ALRT 2011-04-06 2011-04-25    0.96759928    0.03908894   16
ALRT 2011-04-27 2014-01-24    0.42553618    0.00578551  910
ALRT 2014-01-25 2014-04-19    0.21945486    0.01548552   78
ALRT 2014-04-20 2014-11-19    0.42784011    0.01556622  195
ALRT 2014-11-20 2015-03-31    0.24989383    0.01237112  127
ALRT 2015-04-01 2015-10-07    0.48290485    0.01719515  169
ALRT 2015-10-08 2017-02-12    0.36433786    0.00754219  478
ALRT 2017-02-13 2017-08-11    0.54478100    0.01364946  175
ALRT 2017-08-12 2018-01-19    0.38864684    0.01360463  155
ALRT 2018-01-20 2019-02-17    0.55734278    0.00865876  383
ALRT 2019-02-18 2025-12-14    0.34365547    0.01836913   60
AMC2 1998-10-22 1999-03-08   -0.91791221    0.03927127   62
AMC2 1999-03-10 1999-11-16   -0.36514678    0.04818623  128
AMC2 1999-11-17 2000-03-21   -0.72793933    0.02598351  119
AMC2 2000-03-22 2000-03-25   -1.84494419    0.17150162    4
AMC2 2000-03-26 2000-10-12   -0.45116802    0.04673880  175
AMC2 2000-10-14 2001-09-09   -0.95844782    0.02134647  308
