name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
ABMF 2014-01-02 2014-08-03   -0.46279112    0.06981145  195
ABMF 2014-08-04 2014-11-23   -1.04045860    0.10194214  112
ABMF 2014-11-24 2015-09-14   -0.38951249    0.06862770  218
ABMF 2015-09-15 2015-11-26   -1.02640033    0.13151056   72
ABMF 2015-11-27 2017-11-01   -0.32419946    0.05166210  368
ABMF 2017-11-03 2024-10-02    0.12102666    0.02072012 2387
ABMF 2024-10-03 2024-10-24   -1.03227273    0.22805745   22
ABMF 2024-10-25 2025-08-14    0.16015015    0.05876847  293
ABMF 2025-08-15 2025-12-30    0.59520292    0.09469275  134
ABPO 2014-01-02 2014-09-22   -0.41449836    0.05916856  196
ABPO 2014-09-23 2015-03-11   -0.00250677    0.08962557  155
ABPO 2015-03-12 2015-04-29   -1.55257746    0.17185144   49
ABPO 2015-04-30 2015-07-11   -0.01912486    0.09548108   71
ABPO 2015-07-12 2018-09-21   -0.25353179    0.03828289  482
ABPO 2018-09-22 2020-05-09    0.10391161    0.04104237  569
ABPO 2020-05-10 2021-04-06   -0.22687497    0.04982846  326
ABPO 2021-04-07 2021-06-15    0.33502239    0.11192422   70
ABPO 2021-06-16 2023-12-27   -0.37798264    0.03326475  762
ABPO 2023-12-28 2024-08-17    0.41260315    0.06136471  231
ABPO 2024-08-18 2025-01-21   -0.23190281    0.08375421   92
ABPO 2025-01-22 2025-05-04    0.64749957    0.12116757  103
ADE1 1999-03-18 2000-05-01    0.24346097    0.03442942  344
ADE1 2000-05-02 2004-12-03    0.67584704    0.01584700 1564
ADE1 2004-12-04 2006-01-02    0.31019697    0.03281519  382
ADE1 2006-01-03 2006-02-15   -0.26173698    0.13690831   32
ADE1 2006-02-16 2010-09-14    0.51688309    0.01609210 1540
ADIS 2008-03-14 2010-01-11    0.13426657    0.04262087  356
ADIS 2010-01-23 2010-12-05    0.32086927    0.05368879  223
ADIS 2010-12-06 2011-01-13   -0.72418527    0.12766874   34
ADIS 2011-01-14 2012-04-14    0.20209008    0.03998452  394
ADIS 2012-04-15 2013-01-25    0.55102571    0.05035911  255
ADIS 2013-01-26 2013-03-13    1.24699979    0.13327340   34
ADIS 2013-03-14 2013-04-05   -0.73728356    0.18684906   21
ADIS 2013-04-06 2015-09-23    0.36920041    0.02973001  752
ADIS 2015-09-25 2016-01-21   -0.46658128    0.08115510   89
ADIS 2016-01-22 2016-10-12    0.17655985    0.05401982  232
ADIS 2016-10-13 2019-10-29    0.52579302    0.02961594  737
ADIS 2019-10-30 2019-12-26   -1.03018229    0.16034880   24
ADIS 2019-12-27 2021-02-04    0.23865193    0.04450172  315
ADIS 2021-02-05 2022-04-24   -0.94341198    0.15553809   24
ADIS 2022-04-25 2023-12-06    0.24082243    0.03639019  489
