name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
ABMF 2017-11-03 2017-11-04  -0.2335  +0.1486  +0.0517  +0.0219   368  2152  -6.8032  1.023e-11     1
ABMF 2024-02-09 2024-02-10  +0.1486  +0.0610  +0.0219  +0.0643  2152   235  +1.2901  1.970e-01     0
ABMF 2024-10-03 2024-10-24  +0.0610  +0.2264  +0.0643  +0.0589   235   293  -1.8971  5.781e-02     0
ABMF 2025-08-15 2025-08-18  +0.2264  +0.4741  +0.0589  +0.0951   293   134  -2.2149  2.676e-02     1
ABPO 2014-09-23 2014-09-24  -0.5227  -0.0111  +0.0600  +0.0992   196   119  -4.4135  1.017e-05     1
ABPO 2015-01-28 2015-03-11  -0.0111  -1.3775  +0.0992  +0.1759   119    49  +6.7669  1.316e-11     1
ABPO 2015-07-12 2015-07-24  +0.0758  -0.3922  +0.0971  +0.0625    71   228  +4.0514  5.092e-05     1
ABPO 2016-03-27 2016-03-29  -0.3922  -0.3478  +0.0625  +0.0497   228   254  -0.5560  5.782e-01     0
ABPO 2020-04-07 2020-05-11  +0.0669  -0.3088  +0.0425  +0.0505   542   326  +5.6933  1.246e-08     1
ABPO 2021-11-17 2021-11-23  -0.5857  -0.3649  +0.0618  +0.0403   154   608  -2.9946  2.748e-03     1
ADE1 2000-05-02 2000-05-02  +0.2462  +0.6754  +0.0345  +0.0159   344  1564 -11.3011  1.296e-29     1
ADE1 2006-01-03 2006-02-15  +0.3100  +0.5189  +0.0329  +0.0161   382  1540  -5.7022  1.183e-08     1
ADIS 2010-01-23 2010-01-24  +0.1485  +0.3065  +0.0428  +0.0538   356   223  -2.2976  2.159e-02     1
ADIS 2010-12-06 2011-01-13  +0.3065  +0.2230  +0.0538  +0.0402   223   394  +1.2422  2.142e-01     0
ADIS 2013-01-26 2013-04-05  +0.5638  +0.3336  +0.0506  +0.0298   255   752  +3.9202  8.846e-05     1
ADIS 2015-09-25 2015-10-13  +0.3336  -0.2105  +0.0298  +0.0818   752    89  +6.2495  4.117e-10     1
ADIS 2016-01-22 2016-01-30  -0.2105  +0.0796  +0.0818  +0.0541    89   232  -2.9585  3.092e-03     1
ADIS 2019-01-16 2019-01-24  +0.5688  +0.5661  +0.0326  +0.0736   603   134  +0.0332  9.735e-01     0
ADIS 2019-10-30 2019-12-26  +0.5661  +0.2734  +0.0736  +0.0448   134   315  +3.3971  6.811e-04     1
ADIS 2021-02-05 2022-04-24  +0.2734  +0.2300  +0.0448  +0.0365   315   489  +0.7511  4.526e-01     0
ADIS 2024-01-03 2024-01-14  +0.2300  -0.1837  +0.0365  +0.1133   489    42  +3.4742  5.125e-04     1
ADIS 2024-02-27 2024-03-01  -0.1837  +0.1857  +0.1133  +0.0322    42   636  -3.1349  1.719e-03     1
AIRA 2005-06-24 2005-07-13  -0.1796  +0.2156  +0.0258  +0.0869   835   125  -4.3604  1.298e-05     1
AIRA 2008-09-12 2008-10-05  -0.3180  -0.5694  +0.0233  +0.0511   988   134  +4.4773  7.558e-06     1
AIRA 2009-02-24 2009-02-26  -0.5694  -0.5928  +0.0511  +0.0413   134   330  +0.3553  7.223e-01     0
AIRA 2010-02-07 2010-03-03  -0.5928  -0.8654  +0.0413  +0.0366   330   407  +4.9361  7.970e-07     1
AIRA 2011-10-27 2011-11-11  -1.4536  -0.8493  +0.0799  +0.0434   167   232  -6.6496  2.939e-11     1
AIRA 2025-09-28 2025-10-17  -0.4339  +0.2670  +0.0244  +0.0852   950    64  -7.9083  2.609e-15     1
ALBH 1997-01-31 1997-02-11  +0.2436  +0.0580  +0.0259  +0.0390   526   258  +3.9673  7.271e-05     1
ALBH 1998-06-23 1998-08-03  -0.0573  +0.3177  +0.0502  +0.0227   121   657  -6.8098  9.777e-12     1
ALBH 2000-06-30 2000-08-01  +0.3177  +0.1945  +0.0227  +0.0226   657   670  +3.8485  1.189e-04     1
ALBH 2002-06-20 2002-07-17  +0.1945  +0.1435  +0.0226  +0.0830   670    93  +0.5926  5.535e-01     0
ALBH 2002-10-23 2002-11-05  +0.1435  +0.2927  +0.0830  +0.0238    93   557  -1.7277  8.404e-02     0
ALBH 2013-06-03 2013-06-06  +0.1064  +0.4584  +0.0187  +0.0840   946    93  -4.0887  4.338e-05     1
ALBH 2013-09-09 2013-09-15  +0.4584  +0.0743  +0.0840  +0.0342    93   254  +4.2338  2.298e-05     1
ALBH 2014-06-02 2014-06-11  +0.0743  +0.2645  +0.0342  +0.0233   254   641  -4.5999  4.226e-06     1
ALBH 2022-09-26 2022-10-17  +0.7148  +0.7163  +0.0124  +0.0174  2312  1148  -0.0724  9.422e-01     0
ALGO 1996-01-24 1996-02-23  +0.2136  +0.0954  +0.0244  +0.0264   307   307  +3.2941  9.873e-04     1
ALGO 1998-01-09 1998-02-28  +0.1693  -0.1721  +0.0312  +0.0347   262   253  +7.3167  2.541e-13     1
ALGO 1998-11-30 1998-12-12  -0.1721  -0.0160  +0.0347  +0.0180   253   585  -3.9957  6.450e-05     1
ALGO 2006-12-01 2006-12-13  +0.0412  +0.1349  +0.0117  +0.0187  1529   463  -4.2543  2.097e-05     1
ALGO 2008-04-18 2008-04-22  +0.1349  +0.0744  +0.0187  +0.0126   463  1248  +2.6852  7.250e-03     1
ALGO 2012-03-18 2012-03-22  +0.0744  +0.0676  +0.0126  +0.0197  1248   562  +0.2937  7.690e-01     0
ALGO 2013-12-22 2014-01-08  +0.0676  +0.0566  +0.0197  +0.0076   562  3181  +0.5186  6.040e-01     0
ALIC 1998-03-01 1998-03-26  +0.0981  -1.1797  +0.0354  +0.0654   319    72 +17.1778  3.895e-66     1
ALIC 1998-07-04 1998-08-13  -1.1797  -1.1133  +0.0654  +0.0509    72   194  -0.8009  4.232e-01     0
ALIC 1999-04-02 1999-04-03  -1.1133  -1.4872  +0.0509  +0.0362   194   241  +5.9849  2.166e-09     1
ALIC 2000-06-14 2000-07-21  -0.3752  -0.6687  +0.0557  +0.0526   145    91  +3.8294  1.285e-04     1
ALIC 2000-10-22 2000-11-06  -0.6687  -0.6606  +0.0526  +0.0431    91   242  -0.1196  9.048e-01     0
ALIC 2001-07-18 2001-07-22  -0.6606  -0.7755  +0.0431  +0.0286   242   406  +2.2195  2.646e-02     1
ALIC 2023-07-27 2023-07-30  -0.6493  -0.2769  +0.0247  +0.0489   651   160  -6.8003  1.044e-11     1
ALRT 2002-11-20 2002-12-22       NA  +0.3795       NA  +0.0122    NA   139       NA         NA    NA
ALRT 2006-04-09 2006-04-28  +0.5723  +0.5346  +0.0087  +0.0165   370   189  +2.0143  4.397e-02     1
ALRT 2006-11-11 2006-12-16  +0.5346  +0.4250  +0.0165  +0.0214   189    46  +4.0483  5.159e-05     1
ALRT 2007-02-01 2007-02-04  +0.4250  +0.3009  +0.0214  +0.0125    46   231  +5.0041  5.613e-07     1
ALRT 2011-04-06 2011-04-25  +0.2957  +0.4255  +0.0131  +0.0058   111   910  -9.0654  1.241e-19     1
AMC2 2000-03-22 2000-03-25  -0.7279  -0.4512  +0.0260  +0.0467   119   175  -5.1756  2.271e-07     1
AMC2 2001-09-10 2001-09-13  -0.9584  -1.0985  +0.0213  +0.0215   308   267  +4.6214  3.812e-06     1
AMC2 2003-02-04 2003-02-15  -0.5846  -0.6759  +0.0265  +0.0114   207  1237  +3.1651  1.551e-03     1
AMC2 2007-11-09 2007-12-16  -0.6369  -0.6452  +0.0222  +0.0363   303    55  +0.1954  8.451e-01     0
AMC2 2010-02-18 2010-02-25  -0.9271  -1.0802  +0.0148  +0.0280   683   271  +4.8392  1.304e-06     1
AMC2 2011-09-27 2011-10-04  -0.8418  -0.8717  +0.0242  +0.0201   270   392  +0.9521  3.410e-01     0
AMC2 2012-11-09 2012-11-10  -0.8717  -0.9677  +0.0201  +0.0150   392   693  +3.8242  1.312e-04     1
AMC2 2014-12-04 2014-12-07  -0.9677  -0.9567  +0.0150  +0.0244   693   200  -0.3825  7.021e-01     0
AMC2 2017-04-16 2017-04-17  -0.6099  -0.7446  +0.0285  +0.0217   106   329  +3.7632  1.677e-04     1
ANKR 1997-04-23 1997-04-27  +0.3024  +0.6266  +0.0213  +0.0466   497   171  -6.3238  2.552e-10     1
ANKR 1997-12-01 1998-01-07  +0.6266  +0.8195  +0.0466  +0.0341   171   204  -3.3411  8.345e-04     1
ANKR 2010-03-19 2010-03-27  -0.3909  -0.4172  +0.0192  +0.0131   658  1349  +1.1312  2.580e-01     0
ANKR 2014-04-20 2014-04-25  -0.4172  -0.3620  +0.0131  +0.0260  1349   381  -1.8975  5.776e-02     0
ANKR 2019-09-04 2019-09-14  -0.8721  -1.3058  +0.0191  +0.0267   645   379 +13.1880  1.029e-39     1
ANKR 2021-11-02 2021-12-23  -1.0342       NA  +0.0288       NA   220    NA       NA         NA    NA
ANTC 2002-07-02 2002-08-05       NA  -0.2891       NA  +0.0739    NA    94       NA         NA    NA
ANTC 2004-05-05 2004-05-20  +0.1536  +0.3064  +0.0783  +0.0241   147  1060  -1.8654  6.212e-02     0
ANTC 2007-09-29 2007-10-02  +0.3064  +0.3923  +0.0241  +0.0850  1060   109  -0.9717  3.312e-01     0
ANTC 2008-12-01 2008-12-12  +0.2022  +0.4192  +0.0456  +0.0877   260   133  -2.1963  2.807e-02     1
ANTC 2009-04-28 2009-06-11  +0.4192  +0.0846  +0.0877  +0.0473   133   282  +3.3584  7.838e-04     1
ANTC 2010-04-04 2010-04-10  +0.0846  +0.0430  +0.0473  +0.0363   282   459  +0.6977  4.854e-01     0
ANTC 2012-07-30 2012-08-08  +0.1509  -0.0748  +0.0463  +0.0546   318   237  +3.1519  1.622e-03     1
ANTC 2013-04-24 2013-04-26  -0.0748  -0.3566  +0.0546  +0.0610   237   121  +3.4400  5.816e-04     1
ANTC 2013-09-08 2013-09-11  -0.3566  +0.1309  +0.0610  +0.0318   121   586  -7.0842  1.399e-12     1
ANTC 2021-02-06 2021-02-07  +0.1309  +0.5404  +0.0318  +0.0679   586   141  -5.4605  4.749e-08     1
ANTC 2021-07-12 2021-07-24  +0.5404  +0.2662  +0.0679  +0.0245   141  1063  +3.7976  1.461e-04     1
AOML 1998-06-05 1998-06-09  -0.6636  +0.4052  +0.0795  +0.1654   178    67  -5.8253  5.702e-09     1
AREG 2017-01-30 2017-02-21       NA  +1.3984       NA  +0.0951    NA    91       NA         NA    NA
AREG 2017-05-24 2017-05-28  +1.3984  +2.1496  +0.0951  +0.0635    91    95  -6.5676  5.113e-11     1
AREG 2018-04-05 2018-04-23  +1.3916  +1.7313  +0.0614  +0.0552   206   149  -4.1164  3.848e-05     1
AREG 2018-10-04 2018-10-20  +1.7313  +1.4654  +0.0552  +0.0400   149   386  +3.9035  9.480e-05     1
AREG 2019-11-16 2019-12-25  +1.4654  +0.5553  +0.0400  +0.0878   386   113  +9.4345  3.929e-21     1
AREG 2020-04-18 2020-05-06  +0.5553  +1.3072  +0.0878  +0.0552   113   142  -7.2494  4.187e-13     1
AREG 2020-09-27 2020-10-26  +1.3072  +1.1243  +0.0552  +0.1210   142    55  +1.3753  1.690e-01     0
AREG 2020-12-23 2021-01-18  +1.1243  +2.2392  +0.1210  +0.0875    55   112  -7.4658  8.281e-14     1
AREG 2022-02-05 2022-04-20  +1.2010  +1.0530  +0.0455  +0.0435   265   299  +2.3490  1.882e-02     1
AREG 2023-02-21 2023-03-05  +1.0530  +1.3017  +0.0435  +0.0306   299   623  -4.6740  2.954e-06     1
AREQ 1995-08-19 1995-09-12  +0.7986  +1.4735  +0.0952  +0.0423    74   534  -6.4756  9.444e-11     1
AREQ 1998-02-28 1998-03-10  +1.4735  +1.1651  +0.0423  +0.0304   534   914  +5.9176  3.266e-09     1
AREQ 2001-08-10 2001-11-01  +1.1651  +0.8885  +0.0304  +0.1108   914    98  +2.4074  1.607e-02     1
