name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
ALRT 2011-04-06 2011-04-25  +0.3277  +0.4363  +0.0131  +0.0058   111   909  -7.5838  3.356e-14     1
AOML 1998-06-05 1998-06-09  -0.6636  +0.4052  +0.0795  +0.1654   178    67  -5.8253  5.702e-09     1
AREQ 1994-04-18 1994-12-08       NA  +1.2862       NA  +0.0244    NA  1480       NA         NA    NA
AREQ 2004-08-09 2004-09-06  +1.7972  +1.5011  +0.0313  +0.0122   902  6011  +8.8255  1.090e-18     1
ARTU 2019-01-12 2019-02-21  +0.0840  +0.1505  +0.0063  +0.0120  3080   940  -4.9015  9.510e-07     1
ASPA 2019-08-24 2019-09-08  -0.4511  -1.1781  +0.0162  +0.0439  5822   793 +15.5413  1.821e-54     1
ASPA 2024-04-22 2024-04-23  +0.1213  -0.4562  +0.0527  +0.0558   543   496  +7.5200  5.477e-14     1
BADG 2005-12-26 2006-02-12  +0.0641  +0.0192  +0.0280  +0.0086   237  1279  +1.5303  1.259e-01     0
BAKE 2011-12-01 2012-01-15  +0.5928  +0.5759  +0.0094  +0.0096   545   388  +1.2504  2.112e-01     0
BAKO 1999-08-02 1999-09-09  +0.1357  -1.1407  +0.0681  +0.0866   407   239 +11.5875  4.766e-31     1
BAKO 2000-08-11 2000-08-22  -1.1407  -2.0259  +0.0866  +0.0891   239   233  +7.1240  1.049e-12     1
BDOS 2009-03-26 2009-05-03  -0.4009  -0.1695  +0.0353  +0.0327  1039  1234  -4.8097  1.511e-06     1
BHR1 2003-05-07 2003-05-23  +4.4532  +3.9278  +0.0833  +0.0792   130   155  +4.5728  4.812e-06     1
BHR1 2008-02-21 2008-04-28  +4.2095  +3.9588  +0.0574  +0.1140   292    65  +1.9638  4.955e-02     0
BILI 2001-12-15 2002-01-24  +0.0760  -0.0330  +0.0090  +0.0199   689   149  +4.9908  6.014e-07     1
BILI 2006-01-25 2006-03-13  +0.3196  +0.1857  +0.0148  +0.0085   285   802  +7.8413  4.460e-15     1
BISK 2015-02-11 2015-02-13  +0.2998  +0.4389  +0.0232  +0.0150   356   878  -5.0319  4.857e-07     1
BISK 2019-01-09 2019-01-13  +0.4389  +0.6954  +0.0150  +0.0171   878   686 -11.2749  1.745e-29     1
BJCO 2014-12-25 2015-01-03  +0.9683  +1.0127  +0.0305  +0.0432  1727   844  -0.8397  4.011e-01     0
BJCO 2017-12-22 2017-12-27  +1.0127  +1.0632  +0.0432  +0.0753   844   333  -0.5813  5.610e-01     0
BJNM 2015-01-02 2015-01-28  +0.5871  +0.2992  +0.0261  +0.0350   299   217  +6.5993  4.131e-11     1
BJNM 2018-03-12 2018-03-14  +0.5727  +0.6515  +0.0158  +0.0205   549   400  -3.0450  2.327e-03     1
BOAV 2023-09-28 2023-10-16  -0.7773  -1.1718  +0.0599  +0.0992   264    89  +3.4025  6.678e-04     1
BOGT 1998-11-11 1999-02-26  -0.7486  -0.6116  +0.0815  +0.0102    70  5544  -1.6685  9.522e-02     0
BREW 2025-12-07 2025-12-30  -0.1291       NA  +0.0081       NA  4211    NA       NA         NA    NA
BRMU 1998-03-21 1998-03-25  -0.3287  -0.6388  +0.0235  +0.0293  1350   933  +8.2619  1.433e-16     1
BSHM 2001-11-25 2002-03-25  +0.1204  -0.1296  +0.0459  +0.0118   204  3379  +5.2798  1.293e-07     1
BUE2 2007-09-04 2007-09-14  +0.2007  +0.2029  +0.0335  +0.0266   623  1002  -0.0528  9.579e-01     0
CAGS 2014-01-02 2014-01-06       NA  -0.1633       NA  +0.0232    NA   328       NA         NA    NA
CAGS 2015-01-08 2015-01-29  -0.1633  -0.2411  +0.0232  +0.0149   328   732  +2.8207  4.792e-03     1
CAS1 1997-09-28 1997-11-05  +0.9265  -0.2975  +0.0240  +0.0118   108   488 +45.7965  0.000e+00     1
CCJ2 2023-07-01 2023-08-17  -0.4569  +0.0739  +0.0311  +0.0481   781   297  -9.2748  1.780e-20     1
CGGN 2013-11-27 2013-12-04  +1.0668  +0.7701  +0.0380  +0.0466   463   324  +4.9333  8.084e-07     1
CHAN 2025-11-21 2025-12-30  +0.0394       NA  +0.0178       NA   285    NA       NA         NA    NA
CHUM 1997-10-14 1997-12-23       NA  +0.9866       NA  +0.0572    NA   203       NA         NA    NA
CRAR 2005-06-05 2005-07-21  +0.9548  +0.2031  +0.0208  +0.0088    61   380 +33.3195 2.017e-243     1
CRAR 2011-04-28 2011-06-17  -0.0110  +0.0605  +0.0123  +0.0086   243   390  -4.7555  1.980e-06     1
CRO1 2000-04-27 2000-05-22  -0.4028  +0.4021  +0.0864  +0.0318   222  1679  -8.7455  2.220e-18     1
DAEJ 2000-09-19 2000-10-11  +0.5621  +0.3855  +0.0248  +0.0127   476  1373  +6.3373  2.338e-10     1
DARW 2002-03-11 2002-05-25  -0.5835  -0.7311  +0.0313  +0.0334  1147  1053  +3.2264  1.253e-03     1
DAV1 1998-02-15 1998-03-15  -0.2814  -0.8802  +0.0097  +0.0097   395   385 +43.6288  0.000e+00     1
DAV1 1999-07-24 1999-08-13  -0.8802  -0.1298  +0.0097  +0.0134   385   211 -45.3083  0.000e+00     1
DAVR 2005-04-10 2005-04-25  -0.0419  -0.3023  +0.0085  +0.0179   508   109 +13.1271  2.302e-39     1
EIL1 2004-11-14 2004-12-16  -0.0298  +0.1854  +0.0090  +0.0123  1445   720 -14.0871  4.558e-45     1
EIL1 2007-01-06 2007-02-12  +0.1854  +0.1044  +0.0123  +0.0096   720  1221  +5.1807  2.210e-07     1
EISL 1994-05-04 1994-09-28       NA  -1.0142       NA  +0.0238    NA  1907       NA         NA    NA
EPRT 1999-01-23 1999-01-24  +0.8290  +0.5035  +0.0421  +0.0225   107   476  +6.8147  9.448e-12     1
ETAD 2010-01-20 2010-01-24  +0.0441  +0.2109  +0.0379  +0.0350   438   506  -3.2358  1.213e-03     1
FRDN 2023-01-17 2023-01-18  +0.3420  +0.2365  +0.0091  +0.0141  2378   985  +6.2639  3.754e-10     1
FUNC 2020-12-03 2021-01-21  +0.7059  +0.5643  +0.0227  +0.0190  1209  1694  +4.7910  1.660e-06     1
GALA 2002-10-26 2002-11-08  +0.7749       NA  +0.0355       NA  1074    NA       NA         NA    NA
GLSV 2001-06-16 2001-08-09  +0.6054  +0.5597  +0.0138  +0.0095  1093  2249  +2.7263  6.406e-03     1
GMAS 2003-04-13 2008-02-19       NA  -0.7214       NA  +0.0294    NA   866       NA         NA    NA
GOUG 2003-08-12 2003-08-29  +0.0140  -0.4363  +0.0217  +0.0461  1335   294  +8.8403  9.542e-19     1
GOUG 2007-08-05 2007-10-09  +0.0730  +1.0260  +0.0426  +0.1108   365    61  -8.0275  9.951e-16     1
GOUG 2008-05-14 2008-06-13  +1.8490  +2.5895  +0.0925  +0.0821    81    77  -5.9884  2.119e-09     1
GUAO 2013-11-08 2013-12-30  -0.1620       NA  +0.0375       NA   220    NA       NA         NA    NA
HERS 2004-07-29 2004-08-24  +0.3598  +0.5077  +0.0163  +0.0116  1050  2071  -7.3947  1.418e-13     1
HLFX 2002-12-21 2003-01-12       NA  +0.0704       NA  +0.0071    NA  4963       NA         NA    NA
HOB2 1998-08-14 1998-08-15  -0.1408  -0.4449  +0.0227  +0.0343   585   271  +7.3971  1.392e-13     1
HOLB 1994-01-06 1994-04-27       NA  +0.2149       NA  +0.0103    NA  2296       NA         NA    NA
HYDE 2015-09-18 2015-09-26  +0.4333  +1.1296  +0.0275  +0.0303  1682  1397 -17.0337  4.617e-65     1
HYDE 2025-07-02 2025-08-12  -0.0609       NA  +0.0326       NA  1250    NA       NA         NA    NA
INEG 1999-12-01 2000-05-27       NA  -0.2565       NA  +0.0179    NA  1837       NA         NA    NA
IRKT 1996-12-19 1997-01-15  +0.0898  +0.0132  +0.0171  +0.0104   388  1053  +3.8352  1.255e-04     1
IRKT 2000-02-24 2000-04-29  +0.0132  +0.1293  +0.0104  +0.0181  1053   414  -5.5690  2.562e-08     1
IRKT 2011-01-09 2011-02-15  -0.2625  -0.3735  +0.0066  +0.0112  2768   912  +8.5532  1.197e-17     1
ISBA 2009-01-02 2009-02-10       NA  -0.3430       NA  +0.0564    NA   208       NA         NA    NA
