name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
ADIS 2019-01-15 2019-02-10  +0.5802  +0.1672  +0.0326  +0.0198   602  1668 +10.8323  2.420e-27     1
AIRA 2011-10-27 2011-11-11  -1.4563  -0.8427  +0.0799  +0.0434   167   232  -6.7515  1.463e-11     1
AIRA 2025-09-28 2025-12-30  -0.4304       NA  +0.0244       NA   950    NA       NA         NA    NA
ALGO 2024-01-24 2024-03-15  +0.0631  +0.0813  +0.0052  +0.0194  7024   554  -0.9078  3.640e-01     0
ALRT 2004-12-11 2005-03-13  +0.5045  +0.5916  +0.0064  +0.0090   699   354  -7.9021  2.743e-15     1
ALRT 2010-11-19 2011-04-25  +0.5223  +0.4345  +0.0077  +0.0058   547   909  +9.0952  9.442e-20     1
ANKR 1999-07-13 1999-10-09  +0.2427  +0.0689  +0.0305  +0.0229   201   439  +4.5553  5.232e-06     1
AOML 1998-06-05 1998-07-18  -0.5684  -0.9405  +0.0795  +0.0436   178   796  +4.1054  4.036e-05     1
AREQ 1994-04-18 1994-12-08       NA  +1.2862       NA  +0.0244    NA  1480       NA         NA    NA
AREQ 2004-08-09 2004-09-06  +1.7972  +1.5011  +0.0313  +0.0122   902  6011  +8.8255  1.090e-18     1
ARTU 2000-01-06 2000-01-30  +0.1790  +0.3410  +0.0307  +0.0079   140  2038  -5.1157  3.126e-07     1
ARTU 2006-01-13 2006-02-16  +0.3410  +0.4335  +0.0079  +0.0108  2038  1184  -6.9014  5.151e-12     1
ARTU 2009-11-17 2010-02-21  +0.4335  +0.4354  +0.0108  +0.0279  1184   242  -0.0621  9.505e-01     0
ARTU 2019-01-12 2019-02-21  +0.0635  +0.1416  +0.0067  +0.0120  2713   940  -5.6758  1.380e-08     1
ASPA 2019-08-24 2019-09-08  -0.4511  -1.1781  +0.0162  +0.0439  5822   793 +15.5413  1.821e-54     1
ASPA 2024-04-22 2024-04-23  +0.1213  -0.4562  +0.0527  +0.0558   543   496  +7.5200  5.477e-14     1
ASPA 2025-09-05 2025-12-30  -0.4562       NA  +0.0558       NA   496    NA       NA         NA    NA
BADG 2005-12-26 2006-02-12  +0.0641  +0.0192  +0.0280  +0.0086   237  1279  +1.5303  1.259e-01     0
BAKE 2005-12-14 2006-03-22  +0.3364  +0.3763  +0.0182  +0.0093   211   486  -1.9460  5.166e-02     0
BAKE 2011-12-01 2012-01-15  +0.5928  +0.5759  +0.0094  +0.0096   545   388  +1.2504  2.112e-01     0
BAKO 1999-08-02 1999-09-09  +0.1317  -1.1467  +0.0681  +0.0866   407   239 +11.6063  3.829e-31     1
BAKO 2000-08-11 2000-08-22  -1.1467  -2.0289  +0.0866  +0.0891   239   233  +7.0990  1.256e-12     1
BAKO 2003-07-15 2003-07-19  -0.3697  +0.2874  +0.0573  +0.0985   565   190  -5.7648  8.177e-09     1
BAN2 2002-12-09 2003-03-26       NA  +0.7287       NA  +0.0690    NA   274       NA         NA    NA
BAN2 2004-01-13 2004-05-02  +0.7287  -0.1974  +0.0690  +0.0820   274   195  +8.6405  5.597e-18     1
BDOS 2009-03-26 2009-05-03  -0.4009  -0.1695  +0.0353  +0.0327  1039  1234  -4.8097  1.511e-06     1
BHR1 1996-06-24 1996-11-18       NA  +2.9025       NA  +0.0261    NA  1316       NA         NA    NA
BHR1 2003-05-07 2003-05-23  +4.4532  +3.9278  +0.0833  +0.0792   130   155  +4.5728  4.812e-06     1
BHR1 2008-02-21 2008-07-26  +4.2095       NA  +0.0574       NA   292    NA       NA         NA    NA
BILI 2001-12-15 2002-01-24  +0.0702  -0.0354  +0.0090  +0.0199   689   149  +4.8360  1.325e-06     1
BILI 2006-01-25 2006-03-13  +0.3084  +0.2232  +0.0148  +0.0227   286   190  +3.1461  1.655e-03     1
BILI 2006-10-20 2007-01-23  +0.2232  +0.1926  +0.0227  +0.0104   190   523  +1.2268  2.199e-01     0
BISK 2015-02-11 2015-02-13  +0.2998  +0.4389  +0.0232  +0.0150   356   878  -5.0319  4.857e-07     1
BISK 2019-01-09 2019-01-13  +0.4389  +0.6954  +0.0150  +0.0171   878   686 -11.2749  1.745e-29     1
BJCO 2014-12-25 2015-01-03  +0.9683  +1.0127  +0.0305  +0.0432  1727   844  -0.8397  4.011e-01     0
BJCO 2017-12-22 2017-12-27  +1.0127  +1.0632  +0.0432  +0.0753   844   333  -0.5813  5.610e-01     0
BJFS 2000-07-20 2000-10-04  +0.6497  +1.0271  +0.0256  +0.0138   255  1017 -12.9754  1.688e-38     1
BJNM 2015-01-02 2015-01-28  +0.5871  +0.2992  +0.0261  +0.0350   299   217  +6.5993  4.131e-11     1
BJNM 2018-03-12 2018-03-14  +0.5727  +0.6515  +0.0158  +0.0205   549   400  -3.0450  2.327e-03     1
BOAV 2023-09-28 2024-02-05  -0.7828  -0.4248  +0.0599  +0.0485   264   425  -4.6444  3.411e-06     1
BOAV 2025-08-14 2025-12-30  -0.4248       NA  +0.0485       NA   425    NA       NA         NA    NA
BOGT 1998-06-15 1999-02-26  +0.3641  -0.5731  +0.0427  +0.0249   309   919 +18.9494  4.464e-80     1
BOGT 2005-05-19 2005-05-28  -0.5731  -0.6262  +0.0249  +0.0112   919  4615  +1.9416  5.218e-02     0
BREW 2025-12-07 2025-12-30  -0.1291       NA  +0.0081       NA  4211    NA       NA         NA    NA
BRMU 1998-03-21 1998-03-25  -0.3287  -0.6388  +0.0235  +0.0293  1350   933  +8.2619  1.433e-16     1
BSHM 2001-11-25 2002-03-25  +0.1204  -0.1296  +0.0459  +0.0118   204  3379  +5.2798  1.293e-07     1
BUE2 2007-09-04 2007-09-14  +0.2007  +0.2029  +0.0335  +0.0266   623  1002  -0.0528  9.579e-01     0
CAGL 1998-05-27 1998-09-11  -0.4209  -0.6358  +0.0269  +0.0386   602   283  +4.5701  4.876e-06     1
CAGL 1999-07-02 1999-10-13  -0.6358  -0.3371  +0.0386  +0.0470   283   153  -4.9111  9.058e-07     1
CAGL 2000-04-29 2000-07-27  -0.3371  -0.5216  +0.0470  +0.0337   153   452  +3.1901  1.422e-03     1
CAGS 2014-01-02 2014-01-06       NA  -0.1633       NA  +0.0232    NA   328       NA         NA    NA
CAGS 2015-01-08 2015-01-29  -0.1633  -0.2411  +0.0232  +0.0149   328   732  +2.8207  4.792e-03     1
CALL 2016-10-29 2017-01-15  -0.3304  -0.3064  +0.0648  +0.1105   595   182  -0.1872  8.515e-01     0
CALL 2017-09-13 2018-04-26  -0.3064       NA  +0.1105       NA   182    NA       NA         NA    NA
CARR 1999-08-16 1999-10-26  -0.1104  -0.1766  +0.0188  +0.0230  1724  1119  +2.2303  2.573e-02     1
CAS1 1997-02-28 1997-11-05  -0.0420  -0.2971  +0.0112  +0.0118   516   488 +15.6445  3.624e-55     1
CCJ2 2023-07-01 2023-08-17  -0.4569  +0.0739  +0.0311  +0.0481   781   297  -9.2748  1.780e-20     1
CCJ2 2024-06-20 2024-09-05  +0.0739  -0.1366  +0.0481  +0.0403   297   468  +3.3559  7.911e-04     1
CCJM 2002-02-03 2002-02-04  -0.0301  +0.3347  +0.0539  +0.0233   322  1632  -6.2080  5.367e-10     1
CCJM 2006-09-23 2006-09-27  +0.3347  +0.0931  +0.0233  +0.0232  1632  1569  +7.3446  2.064e-13     1
CGGN 2013-11-27 2013-12-04  +1.0668  +0.7701  +0.0380  +0.0466   463   324  +4.9333  8.084e-07     1
CHAN 2012-11-11 2013-01-15  +0.0312  +0.0394  +0.0075  +0.0178  1550   285  -0.4291  6.679e-01     0
CHAN 2025-11-21 2025-12-30  +0.0394       NA  +0.0178       NA   285    NA       NA         NA    NA
CHUM 1997-10-14 1997-12-23       NA  +0.9866       NA  +0.0572    NA   203       NA         NA    NA
CHUM 1999-06-07 1999-09-23  +0.1534  -0.1605  +0.0482  +0.0573   192   128  +4.1950  2.729e-05     1
CHUM 2000-05-10 2000-09-19  -0.1605  -0.0497  +0.0573  +0.0267   128   753  -1.7548  7.929e-02     0
COCO 1999-07-01 1999-12-19  -0.5742  -0.1478  +0.0409  +0.0741   629   225  -5.0400  4.656e-07     1
CORD 1999-08-04 1999-10-26       NA  +1.8233       NA  +0.0267    NA  1070       NA         NA    NA
CPXF 2021-04-11 2021-07-22  +0.4756  -0.0712  +0.0123  +0.0145  1524  1073 +28.7670 5.548e-182     1
CRAR 2005-04-05 2005-07-21  +0.1662  +0.2031  +0.0052  +0.0088  1143   380  -3.6214  2.930e-04     1
CRAR 2006-08-12 2006-11-22  +0.2031  +0.2362  +0.0088  +0.0048   380  1326  -3.3087  9.372e-04     1
CRAR 2011-04-28 2011-06-17  -0.0110  +0.0605  +0.0123  +0.0086   243   390  -4.7555  1.980e-06     1
CRO1 2000-04-27 2000-05-22  -0.4028  +0.4021  +0.0864  +0.0318   222  1679  -8.7455  2.220e-18     1
DAEJ 2000-09-19 2000-10-11  +0.5621  +0.3855  +0.0248  +0.0127   476  1373  +6.3373  2.338e-10     1
DAEJ 2017-01-28 2017-07-11  -0.1449  +0.0806  +0.0157  +0.0092   985  2883 -12.3952  2.773e-35     1
DARW 2002-03-11 2002-05-25  -0.5835  -0.7311  +0.0313  +0.0334  1147  1053  +3.2264  1.253e-03     1
DAV1 1998-02-15 1998-03-15  -0.2814  -0.8802  +0.0097  +0.0097   395   385 +43.6288  0.000e+00     1
DAV1 1999-07-24 1999-08-13  -0.8802  -0.1298  +0.0097  +0.0134   385   211 -45.3083  0.000e+00     1
DAVR 2005-04-10 2007-08-10  -0.0419  +0.0088  +0.0085  +0.0097   508   404  -3.9337  8.366e-05     1
DRAO 2003-05-28 2003-09-05  +0.3997  +0.2095  +0.0175  +0.0055   795  7730 +10.3907  2.733e-25     1
DUBO 1996-10-22 1996-12-31       NA  +0.7907       NA  +0.0173    NA   381       NA         NA    NA
DUBO 1998-02-14 1998-02-20  +0.7907  +0.8421  +0.0173  +0.0172   381   486  -2.1122  3.467e-02     1
DUM1 2007-07-20 2007-10-19  +0.4866  +0.6663  +0.0105  +0.0118   648   516 -11.3870  4.854e-30     1
DUM1 2010-08-19 2010-11-12  +0.4707  +0.3393  +0.0129  +0.0116   409   554  +7.5693  3.752e-14     1
DUM1 2012-06-06 2012-07-21  +0.3393  +0.1022  +0.0116  +0.0135   554   383 +13.3139  1.922e-40     1
EIL1 2004-11-14 2004-12-16  -0.0298  +0.1854  +0.0090  +0.0123  1445   720 -14.0871  4.558e-45     1
EIL1 2007-01-06 2007-02-12  +0.1854  +0.1044  +0.0123  +0.0096   720  1221  +5.1807  2.210e-07     1
EISL 1994-05-04 1994-09-28       NA  -1.0142       NA  +0.0238    NA  1907       NA         NA    NA
EPRT 1998-10-03 1999-01-24       NA  +0.5035       NA  +0.0225    NA   476       NA         NA    NA
ETAD 2010-01-20 2010-01-24  +0.0441  +0.2109  +0.0379  +0.0350   438   506  -3.2358  1.213e-03     1
FAIR 2003-12-03 2004-02-05  +0.5703  +0.5769  +0.0063  +0.0048  2459  4140  -0.8285  4.074e-01     0
FAIR 2015-11-25 2015-12-29  +0.5769  +0.2940  +0.0048  +0.0126  4140   629 +20.9514  1.822e-97     1
FAIR 2021-12-25 2022-01-22  +0.9547  +0.8534  +0.0176  +0.0180   325   320  +4.0228  5.751e-05     1
FAIR 2022-12-19 2023-03-07  +0.8534  +1.1735  +0.0180  +0.0129   320   610 -14.4648  2.021e-47     1
FAIR 2024-12-13 2025-04-01  +1.1735  +1.3210  +0.0129  +0.0214   610   270  -5.9073  3.478e-09     1
FRDN 2023-01-17 2023-01-18  +0.3420  +0.2365  +0.0091  +0.0141  2378   985  +6.2639  3.754e-10     1
FUNC 2020-12-03 2021-01-21  +0.7059  +0.5643  +0.0227  +0.0190  1209  1694  +4.7910  1.660e-06     1
GALA 1997-12-19 1998-05-21  +0.5545  +0.7749  +0.0586  +0.0355   409  1074  -3.2170  1.295e-03     1
GALA 2002-10-26 2002-11-08  +0.7749       NA  +0.0355       NA  1074    NA       NA         NA    NA
GLSV 2001-06-16 2001-08-09  +0.6054  +0.5597  +0.0138  +0.0095  1093  2249  +2.7263  6.406e-03     1
GMAS 2003-04-13 2008-02-19       NA  -0.7214       NA  +0.0294    NA   866       NA         NA    NA
GOPE 1995-09-17 1995-11-25       NA  -0.9509       NA  +0.0098    NA  1642       NA         NA    NA
GOUG 2003-08-12 2003-08-29  +0.0140  -0.4363  +0.0217  +0.0461  1335   294  +8.8403  9.542e-19     1
GOUG 2007-08-05 2008-09-17  +0.0730       NA  +0.0426       NA   365    NA       NA         NA    NA
GUAM 2010-06-19 2010-10-07  -0.8107  -0.3754  +0.0239  +0.0253  2612  2283 -12.5170  6.027e-36     1
GUAO 2002-06-16 2002-10-01       NA  -0.5220       NA  +0.0108    NA  1265       NA         NA    NA
GUAO 2013-11-08 2013-12-30  -0.1620       NA  +0.0375       NA   220    NA       NA         NA    NA
GUUG 2010-06-26 2010-09-27  -0.2075  -0.1460  +0.0231  +0.0221  2243  2418  -1.9257  5.414e-02     0
HERS 2004-07-29 2004-08-24  +0.3598  +0.5077  +0.0163  +0.0116  1050  2071  -7.3947  1.418e-13     1
HLFX 2002-12-21 2003-01-12       NA  +0.0704       NA  +0.0071    NA  4963       NA         NA    NA
HNPT 1999-01-17 1999-03-02  +0.9129  +1.1617  +0.0306  +0.0356   545   352  -5.3052  1.126e-07     1
HOB2 1998-08-14 1998-08-15  -0.1408  -0.4449  +0.0227  +0.0343   585   271  +7.3971  1.392e-13     1
HOB2 1999-09-02 1999-12-01  -0.4449  -0.1558  +0.0343  +0.0197   271   844  -7.3116  2.639e-13     1
HOLB 1994-01-06 1994-04-27       NA  +0.2149       NA  +0.0103    NA  2296       NA         NA    NA
HOLB 2003-08-24 2003-12-26  +0.0152  +0.0376  +0.0270  +0.0187   301   681  -0.6793  4.969e-01     0
HOLB 2005-11-21 2006-03-08  +0.0376  +0.3416  +0.0187  +0.0200   681   597 -11.1082  1.145e-28     1
HYDE 2003-10-12 2004-06-06  +1.4795  +0.0056  +0.0642  +0.0885   311   175 +13.4794  2.067e-41     1
