name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
ABMF 2014-01-02 2017-12-05   -0.46490046    0.03228966  988
ABMF 2017-12-06 2025-12-30    0.14794724    0.01914172 2821
ABPO 2014-01-02 2018-09-21   -0.31354956    0.02860997  972
ABPO 2018-09-22 2020-05-09    0.07951540    0.04170328  573
ABPO 2020-05-10 2021-04-06   -0.22479673    0.05075957  326
ABPO 2021-04-07 2023-12-27   -0.38812987    0.03380866  769
ABPO 2023-12-28 2025-05-04    0.41352002    0.06231684  231
ADE1 1999-03-18 2000-05-12    0.24554869    0.03393954  355
ADE1 2000-05-13 2004-12-03    0.67947190    0.01593403 1554
ADE1 2004-12-04 2006-02-20    0.29911359    0.03170881  426
ADE1 2006-02-21 2010-09-14    0.51934847    0.01614661 1535
ADIS 2008-03-14 2016-10-12    0.26401326    0.01636362 2432
ADIS 2016-10-13 2019-10-19    0.61165336    0.02975901  737
ADIS 2019-10-21 2025-12-30    0.14372881    0.02035525 1554
AIRA 2003-02-20 2009-12-07   -0.32085238    0.01531771 2396
AIRA 2009-12-08 2023-01-13   -1.12490582    0.01942563 1407
AIRA 2023-01-14 2025-12-30   -0.37007877    0.02348680 1028
ALBH 1994-01-06 2016-04-05    0.19689361    0.00668668 7800
ALBH 2016-04-06 2025-12-30    0.71402646    0.01009309 3482
ALGO 1994-01-06 1996-01-21    0.22131437    0.01887259  565
ALGO 1996-01-22 2000-08-31   -0.00020125    0.01129510 1551
ALGO 2000-09-01 2002-04-21   -0.18488340    0.01744064  563
ALGO 2002-04-22 2025-12-30    0.06845264    0.00501106 7630
ALIC 1995-02-21 1998-02-19   -0.04093158    0.02545464  543
ALIC 1998-02-20 2000-01-12   -1.41261421    0.02486345  583
ALIC 2000-01-13 2002-09-25   -0.71544881    0.01939776  943
ALIC 2002-09-26 2010-10-22   -0.33979338    0.01166994 2723
ALIC 2010-10-23 2011-06-07   -1.42958282    0.05177933  204
ALIC 2011-06-08 2018-06-26   -0.37679848    0.01229278 2442
ALIC 2018-06-27 2021-10-02   -0.08474424    0.01805263 1063
ALIC 2021-10-03 2025-12-30   -0.69554814    0.01616728 1458
ALRT 2002-11-20 2008-05-07    0.47843447    0.00385559 1906
ALRT 2008-05-08 2010-04-12    0.62031753    0.00663562  645
ALRT 2010-04-13 2017-01-19    0.39906626    0.00363863 2269
ALRT 2017-01-20 2025-12-14    0.51233015    0.00594554  797
AMC2 1998-10-22 2000-11-18   -0.69682566    0.01735827  524
AMC2 2000-11-19 2002-06-19   -1.03464174    0.01562034  543
AMC2 2002-06-20 2007-11-08   -0.64934768    0.00924125 1832
AMC2 2007-11-09 2016-12-25   -0.92481348    0.00694621 3110
AMC2 2016-12-26 2018-04-03   -0.70064148    0.01722199  437
ANKR 1995-06-26 2000-09-15    0.41876284    0.01313261 1381
ANKR 2000-09-16 2017-09-18   -0.30943077    0.00695639 4981
ANKR 2017-09-20 2021-12-23   -1.01791976    0.01354206 1269
ANTC 2002-07-02 2009-05-08    0.37762018    0.01715106 2181
ANTC 2009-05-09 2017-06-10    0.01415903    0.01895837 1717
ANTC 2017-06-11 2025-12-30    0.30217742    0.01952467 1611
AOML 1997-11-21 1998-06-04   -0.25251678    0.07948363  178
AOML 1998-06-05 2000-06-27   -0.89745301    0.04990929  527
AOML 2000-06-28 2004-04-03   -0.47806194    0.03308270 1288
AREG 2017-01-30 2019-05-19    1.78400872    0.02805105  804
AREG 2019-05-20 2025-12-30    1.29281733    0.01587256 2381
AREQ 1994-04-18 2001-05-16    1.12146927    0.02439046 1480
AREQ 2001-05-17 2004-08-08    1.62270386    0.03119073  902
AREQ 2004-08-09 2022-04-20    1.33555244    0.01213821 6011
AREQ 2022-04-21 2025-12-30    0.93612769    0.02626926 1255
AREV 2011-11-08 2012-08-05    1.78040369    0.06421792  189
AREV 2012-08-06 2017-09-11    1.39433584    0.02366164 1559
ARTU 1999-08-09 2009-10-17    0.35942184    0.00614704 3394
ARTU 2009-10-18 2022-04-27    0.09103339    0.00552644 4059
ASC1 1996-05-02 2007-09-03   -0.55777492    0.02134317 1800
ASCG 2017-01-30 2020-03-05   -1.00969835    0.02200434 1122
ASCG 2020-03-06 2025-12-30   -1.26415216    0.01643033 2014
ASPA 2001-08-13 2019-09-24   -0.44356534    0.01613679 5853
ASPA 2019-09-25 2021-09-16   -1.26303592    0.04668360  701
ASPA 2021-09-17 2025-12-30   -0.08789345    0.03516554 1235
AUCK 1995-09-21 1999-05-20   -0.08057380    0.01907117 1112
AUCK 1999-05-21 2001-11-04   -0.35565307    0.02126655  828
AUCK 2001-11-05 2005-11-08    0.10879376    0.01678204 1407
AUCK 2005-11-09 2016-07-22   -0.08584563    0.01030872 3767
AUCK 2016-07-24 2025-12-30    0.28432841    0.01090292 3305
AZGB 2014-01-02 2015-03-03    0.12533750    0.02837560  251
AZGB 2015-03-04 2015-09-24   -0.39036236    0.04101459  187
AZGB 2015-09-25 2016-10-21    0.08114243    0.02600928  367
AZGB 2016-10-22 2024-08-09    0.49373722    0.01011084 2285
AZGB 2024-08-10 2025-12-30    0.00481520    0.02430589  427
BADG 2005-04-01 2010-03-16   -0.19964323    0.00820567 1516
BADG 2010-03-17 2012-09-22   -0.02383999    0.01198357  804
BADG 2012-09-23 2013-01-24   -0.65687251    0.02350465  124
BADG 2013-01-25 2017-01-23   -0.06427729    0.00866914 1362
BADG 2017-01-24 2019-03-18    0.10977703    0.01122900  755
BADG 2019-03-19 2022-02-22   -0.16011418    0.01008466 1022
BADG 2022-02-23 2025-12-30    0.02011017    0.00900532 1348
BAKE 2003-03-05 2006-04-22    0.07463920    0.00650520  999
BAKE 2006-04-23 2015-04-18    0.52859475    0.00443541 2073
BAKE 2015-04-19 2025-12-30    0.38166364    0.00355258 3546
BAKO 1994-08-06 1999-09-13    0.32061617    0.06520733  446
BAKO 1999-09-17 2001-08-15   -1.47460889    0.06147511  481
BAKO 2001-08-16 2009-01-20   -0.23560714    0.02775311 2379
BAKO 2009-01-21 2020-06-25    0.77445265    0.02249935 3571
BAKO 2020-06-26 2025-12-28   -0.23155198    0.03723035 1304
BAN2 2002-12-09 2004-05-02    1.27439818    0.04978164  476
BAN2 2004-05-03 2006-07-28    0.30623215    0.04813215  533
BAN2 2006-07-30 2008-02-27    2.00385714    0.06485027  297
BAN2 2008-02-28 2013-01-14    0.99245534    0.02858164 1513
BARH 1998-10-03 2007-05-08    0.47918334    0.00972894 2560
BARH 2007-05-19 2025-12-30    0.22593991    0.00638833 6025
BDOS 2004-06-12 2009-03-25   -0.43046568    0.03517187 1039
BDOS 2009-03-26 2013-12-09   -0.14572649    0.03266352 1225
BHR1 1996-06-24 2002-08-18    2.78928193    0.02543786 1414
BHR1 2002-08-20 2003-06-05    4.92580224    0.07400530  155
BHR1 2003-06-06 2008-07-26    3.39023870    0.03003995 1035
BILI 1999-09-05 2001-12-14    0.02682428    0.00922195  689
BILI 2001-12-15 2008-11-17    0.12674509    0.00507614 2121
BISK 2014-01-02 2015-02-08    0.24907506    0.02317030  356
BISK 2015-02-11 2018-02-28    0.38026276    0.01574330  783
BISK 2018-03-01 2020-12-26    0.66032426    0.01604267  785
BJCO 2009-04-03 2022-06-25    0.95528430    0.02349080 2904
BJFS 1999-10-22 2007-12-27    0.85465540    0.00889051 2624
BJFS 2007-12-28 2025-12-30    0.20941113    0.00601080 5709
BJNM 2014-01-02 2014-12-30    0.63561630    0.02600899  299
BJNM 2015-01-02 2015-12-02    0.40284986    0.03490493  217
BJNM 2015-12-03 2018-03-11    0.62184012    0.01578886  549
BJNM 2018-03-12 2020-07-04    0.70873120    0.02045347  400
BNDY 2008-01-05 2009-02-13   -0.02984072    0.05529552  324
BNDY 2009-02-14 2009-11-06   -0.24930424    0.05972187  230
BNDY 2009-11-07 2022-09-10   -0.06746157    0.01636657 3527
BNDY 2022-09-11 2025-12-30    0.08947531    0.02859679 1161
BOAV 2014-01-02 2022-11-09    0.38355722    0.02334401 1887
BOAV 2022-11-10 2024-03-29   -0.95009209    0.04832995  405
BOAV 2024-03-30 2025-12-30   -0.31300297    0.04321699  521
BOGO 2014-01-02 2014-05-11    0.23266016    0.02933460  130
BOGO 2014-05-12 2014-09-16   -0.32133082    0.05188886  127
BOGO 2014-09-17 2016-12-11    0.12701383    0.01420694  804
BOGO 2016-12-12 2020-12-23    0.48548607    0.01157134 1244
BOGO 2020-12-24 2024-02-24    0.36014924    0.01171896 1120
BOGO 2024-02-25 2025-12-30    0.51945468    0.01641668  635
BOGT 1994-11-05 1998-06-14    0.39108242    0.04263322  309
BOGT 1998-06-15 2019-04-12   -0.63837272    0.01018612 5534
BOGT 2019-04-13 2019-09-27    0.07661371    0.05424954  166
BOGT 2019-09-28 2025-12-30   -0.74297305    0.01607928 2226
BOR1 1994-09-29 1999-03-31    0.59478707    0.01118458 1596
BOR1 1999-04-01 2009-02-10    0.33491897    0.00786841 3397
BOR1 2009-02-11 2016-07-22    0.12163258    0.00886108 2622
BOR1 2016-07-23 2023-03-21    0.42415508    0.00935031 2327
BOR1 2023-03-22 2025-12-30    0.63000658    0.01488501  989
BRAZ 1995-04-21 1999-11-23    0.48176525    0.03063340  687
BRAZ 1999-11-24 2009-11-26   -0.47186163    0.01474277 3158
BRAZ 2009-11-27 2017-09-27   -0.12998472    0.01652189 2401
BRAZ 2017-09-28 2025-12-30   -0.60764216    0.01580263 2789
BREW 2001-11-17 2002-03-26    0.03382487    0.03607114  129
BREW 2002-03-27 2002-09-26    0.53014442    0.05393594  173
BREW 2002-09-27 2004-12-05    0.12937589    0.01881996  786
BREW 2004-12-06 2010-05-04   -0.11653970    0.01202666 1893
BREW 2010-05-05 2010-10-21   -0.75142136    0.06072930  150
BREW 2010-10-22 2025-12-30   -0.06639491    0.01118634 2163
BRFT 2005-09-18 2007-01-23   -1.20875175    0.05137220  481
BRFT 2007-01-24 2020-06-27   -0.20626553    0.02028741 3204
BRFT 2020-06-28 2025-08-25   -0.90666170    0.03275718 1247
BRMU 1994-01-06 2010-04-20   -0.38201607    0.01199852 5330
BRMU 2010-04-21 2020-09-13    0.07935333    0.01490466 3479
