name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
ABMF 2014-01-02 2017-11-01   -0.37610942    0.03544555  781
ABMF 2017-11-03 2024-10-02    0.12463452    0.02055978 2387
ABMF 2024-10-03 2025-08-14    0.17046605    0.05841819  293
ABMF 2025-08-15 2025-12-30    0.61579972    0.09216492  134
ABPO 2014-01-02 2018-09-21   -0.29898563    0.03189567  678
ABPO 2018-09-22 2020-04-06    0.10502913    0.04172428  542
ABPO 2020-04-07 2021-04-06   -0.22753310    0.04956226  326
ABPO 2021-04-07 2021-11-16   -0.40429828    0.06068877  154
ABPO 2021-11-17 2023-12-27   -0.36173530    0.03946117  608
ABPO 2023-12-28 2025-05-04    0.41150567    0.06036244  231
ADE1 1999-03-18 2000-05-01    0.24346491    0.03442835  344
ADE1 2000-05-02 2004-12-03    0.67584292    0.01584653 1564
ADE1 2004-12-04 2006-01-02    0.31020463    0.03281405  382
ADE1 2006-01-03 2010-09-14    0.51688401    0.01609154 1540
ADIS 2008-03-14 2010-01-11    0.13073377    0.04264756  356
ADIS 2010-01-23 2012-04-14    0.24460917    0.03212236  617
ADIS 2012-04-15 2013-01-25    0.54909905    0.05026399  255
ADIS 2013-01-26 2015-09-23    0.36754668    0.02974740  752
ADIS 2015-09-25 2016-10-12    0.17649334    0.05421684  232
ADIS 2016-10-13 2019-10-29    0.52587782    0.02966114  737
ADIS 2019-10-30 2025-12-30    0.21150848    0.02118256 1440
AIRA 2003-02-20 2005-06-23   -0.00691534    0.02570700  835
AIRA 2005-06-24 2005-11-23    0.00323552    0.08694337  125
AIRA 2005-11-24 2008-09-11   -0.12810388    0.02325732  988
AIRA 2008-09-12 2010-02-06   -0.36368900    0.03218793  464
AIRA 2010-02-07 2011-04-26   -0.68711162    0.03655260  407
AIRA 2011-04-27 2011-10-26   -1.67186544    0.08002892  167
AIRA 2011-10-27 2012-07-05   -0.57330689    0.04328654  232
AIRA 2012-07-06 2013-12-30   -1.29634979    0.03420280  493
AIRA 2023-01-08 2025-12-30   -0.26497309    0.02433860  950
ALBH 1994-01-06 1995-06-28    0.38926181    0.03293331  352
ALBH 1995-06-29 1997-01-30    0.19271318    0.02594353  526
ALBH 1997-01-31 1997-11-07    0.03550362    0.03893757  258
ALBH 1997-11-08 1998-06-22   -0.13467106    0.05024947  121
ALBH 1998-06-23 2000-06-29    0.25925821    0.02272107  657
ALBH 2000-06-30 2002-06-19    0.13545689    0.02256909  670
ALBH 2002-06-20 2004-05-29    0.22402709    0.02381663  557
ALBH 2004-05-30 2010-03-03    0.16575887    0.01324962 1984
ALBH 2010-03-04 2010-10-07   -0.14530653    0.04508203  210
ALBH 2010-10-08 2014-06-01    0.03164387    0.01639981 1200
ALBH 2014-06-02 2016-04-05    0.21680068    0.02326130  641
ALBH 2016-04-06 2025-12-30    0.67065117    0.01011520 3460
ALGO 1994-01-06 1994-08-25    0.56198580    0.04681076  146
ALGO 1994-08-26 1996-01-22    0.09014761    0.02437109  307
ALGO 1996-01-24 1997-01-24    0.02046680    0.02637751  307
ALGO 1997-01-25 1998-01-08    0.12434196    0.03121112  262
ALGO 1998-01-09 1998-11-29   -0.11992186    0.03466984  253
ALGO 1998-11-30 2000-08-31   -0.13320273    0.01798203  585
ALGO 2000-09-01 2002-04-21   -0.30597371    0.01745049  563
ALGO 2002-04-22 2006-11-30   -0.05124541    0.01170343 1529
ALGO 2006-12-01 2008-04-17    0.00235329    0.01869217  463
ALGO 2008-04-18 2025-12-30   -0.04190866    0.00589689 5545
ALIC 1995-02-21 1998-02-28    0.13912690    0.03435913  319
ALIC 1998-03-01 1999-04-01   -1.06538397    0.04984390  194
ALIC 1999-04-02 2000-01-12   -1.41289756    0.03504835  241
