name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
ABMF 2014-01-02 2014-08-03   -0.46279112    0.06981145  195
ABMF 2014-08-04 2014-11-23   -1.03971105    0.09817690  112
ABMF 2014-11-24 2017-11-01   -0.34506138    0.04108311  586
ABMF 2017-11-03 2025-08-14    0.13114649    0.01935877 2680
ABMF 2025-08-15 2025-12-30    0.62463129    0.09146404  134
ABPO 2014-01-02 2014-09-22   -0.41766569    0.05870545  196
ABPO 2014-09-23 2015-01-27   -0.00922110    0.09842521  119
ABPO 2015-01-28 2018-09-21   -0.25247263    0.03801689  482
ABPO 2018-09-22 2020-04-06    0.11037635    0.04168324  542
ABPO 2020-04-07 2021-04-06   -0.22758145    0.04949066  326
ABPO 2021-04-07 2023-12-27   -0.37699038    0.03305784  762
ABPO 2023-12-28 2024-08-17    0.41289901    0.06079823  231
ABPO 2024-08-18 2025-01-21   -0.23190281    0.08375421   92
ABPO 2025-01-22 2025-05-04    0.64424606    0.12030011  103
ADE1 1999-03-18 2000-05-01    0.24346491    0.03442835  344
ADE1 2000-05-02 2004-12-03    0.67584292    0.01584653 1564
ADE1 2004-12-04 2006-01-02    0.31020463    0.03281405  382
ADE1 2006-01-03 2010-09-14    0.51688401    0.01609154 1540
ADIS 2008-03-14 2010-01-11    0.13337107    0.04273086  356
ADIS 2010-01-23 2012-04-14    0.24554564    0.03218509  617
ADIS 2012-04-15 2013-01-25    0.55105342    0.05038444  255
ADIS 2013-01-26 2015-09-23    0.36964516    0.02979320  752
ADIS 2015-09-25 2016-01-21   -0.46611137    0.08122949   89
ADIS 2016-01-22 2016-10-12    0.17614538    0.05420231  232
ADIS 2016-10-13 2019-10-29    0.52574896    0.02969940  737
ADIS 2019-10-30 2025-12-30    0.21246961    0.02122517 1440
AIRA 2003-02-20 2008-09-11   -0.07065017    0.01691698 1948
AIRA 2008-09-12 2010-02-06   -0.36368900    0.03218793  464
AIRA 2010-02-07 2011-04-26   -0.68711162    0.03655260  407
AIRA 2011-04-27 2011-10-26   -1.67186544    0.08002892  167
AIRA 2011-10-27 2012-07-05   -0.57330689    0.04328654  232
AIRA 2012-07-06 2013-12-30   -1.29634979    0.03420280  493
AIRA 2023-01-08 2025-12-30   -0.26497309    0.02433860  950
ALBH 1994-01-06 1994-04-10   -0.12524479    0.05461283   81
ALBH 1994-04-11 1995-06-28    0.38765837    0.03296529  352
ALBH 1995-06-29 1997-01-30    0.19241300    0.02596085  526
ALBH 1997-01-31 1997-11-07    0.03499088    0.03898741  258
ALBH 1997-11-08 1998-02-21    0.40798383    0.04978639  105
ALBH 1998-02-22 1998-06-22   -0.13486244    0.05027704  121
ALBH 1998-06-23 2000-06-29    0.25887152    0.02273179  657
ALBH 2000-06-30 2002-10-22    0.14257315    0.02178623  763
ALBH 2002-10-23 2004-05-29    0.22307034    0.02383315  557
